Serial No. Of Polling Station,AGARWAL KANAIALAL,CHURKA iVIURMU,DEEPA DASMUNSi,DEBASREE CHAUDHUR 1,MD. SALIM,AKIK HOSSAIN CHOWDHU RY,UKSHMA N MURMU,SANTHAPA N HASDAK,SUJAN KRISHNA PAUL,ADVOCATE ANJAY DEBSARMA,KUMARESH SARKAR,BINOY KUMAR DAS,MD. SAHAJAN BADSHA,RAJU PAUL,Total valid votes,No. of rejected votes,NOTA,Total Votes,Unnamed: 20
124,368,5,33,544,34,0,0,1,1,0,1,12,4,3,1006,0,16,1022,0
125,148,3,12,443,21,1,0,0,3,2,2,5,0,0,640,0,11,651,0
126,184,3,36,320,43,1,1,0,0,0,1,3,4,1,597,0,6,603,0
127,244,2,22,336,35,1,0,0,1,0,0,2,0,2,645,0,17,662,0
128,151,1,17,285,30,0,1,0,1,0,1,6,2,1,496,0,8,504,0
129,284,7,58,413,17,0,1,1,1,1,2,6,2,4,797,0,12,809,0
130,282,4,28,339,22,3,0,0,0,0,1,4,3,2,688,0,14,702,0
131,126,0,119,277,47,0,0,0,0,1,0,2,0,1,573,0,5,578,0
132,147,4,197,376,67,0,0,0,0,0,1,0,0,1,793,0,4,797,0
133,205,1,115,430,28,1,1,0,0,1,1,3,2,0,788,0,8,796,0
134,83,3,48,287,24,1,0,0,1,0,2,8,5,0,462,0,5,467,0
135,72,2,44,369,13,0,0,0,0,0,1,1,1,0,503,0,7,510,0
136,288,3,35,289,78,0,0,0,0,0,0,6,3,1,703,0,18,721,0
137,103,3,31,240,34,1,0,0,0,0,0,1,3,1,417,0,8,425,0
138,118,0,60,257,19,0,0,0,1,0,1,1,0,1,458,0,3,461,0
139,108,2,46,299,44,0,0,1,0,0,1,3,1,0,505,0,9,514,0
140,110,1,30,256,46,1,1,2,0,0,0,1,1,0,449,0,3,452,0
141,198,3,40,345,42,0,0,0,0,3,0,2,0,3,636,0,3,639,0
142,208,1,32,336,34,0,2,0,1,1,2,3,2,1,623,0,10,633,0
143,166,3,8,371,21,2,1,0,0,2,4,14,1,2,595,0,11,606,0
144,164,5,44,369,14,0,0,0,0,0,1,6,2,0,605,0,8,613,0
145,154,0,32,387,8,0,0,1,0,0,0,4,3,2,591,0,10,601,0
146,240,0,32,288,12,0,2,0,0,1,0,1,3,1,580,0,11,591,0
147,210,2,46,421,29,0,1,1,0,0,0,7,1,1,719,0,9,728,0
148,193,2,25,439,26,1,1,0,0,1,3,7,3,3,704,0,14,718,0
149,311,9,17,508,6,0,0,1,0,2,8,13,7,8,890,0,34,924,0
150,158,5,70,476,58,0,1,1,0,0,3,8,2,2,784,0,10,794,0
