pc_id,pc_name,ac_id,ac_name,Sl. No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of Valid votes,No. of rejected Votes(Test votes),Votes for NOTA option,Total,No. of tendered votes
2,Sundargar,10,Biramitrapur,256,,,,,,,,5,205,304,209,5,13,5,6,752,nan,7.0,759,nan
2,Sundargar,10,Biramitrapur,257,,,,,,,,6,268,35,359,2,2,92,7,771,nan,5.0,776,nan
2,Sundargar,10,Biramitrapur,258,,,,,,,,5,204,93,142,2,12,4,7,469,nan,5.0,474,nan
2,Sundargar,10,Biramitrapur,259,,,,,,,,4,139,84,306,6,45,2,4,590,nan,9.0,599,nan
2,Sundargar,10,Biramitrapur,260,,,,,,,,2,147,164,203,4,7,2,6,535,nan,7.0,542,nan
2,Sundargar,10,Biramitrapur,261,,,,,,,,13,131,187,193,3,4,3,54,588,nan,4.0,592,nan
2,Sundargar,10,Biramitrapur,262,,,,,,,,5,209,58,345,7,5,2,3,634,nan,7.0,641,nan
2,Sundargar,10,Biramitrapur,263,,,,,,,,1,190,126,239,2,6,1,5,570,nan,9.0,579,nan
2,Sundargar,10,Biramitrapur,264,,,,,,,,5,91,218,109,2,4,1,8,438,nan,4.0,442,nan
2,Sundargar,10,Biramitrapur,265,,,,,,,,5,173,268,180,3,15,3,10,657,nan,16.0,673,nan
2,Sundargar,10,Biramitrapur,266,,,,,,,,8,125,341,181,1,4,20,1,681,nan,5.0,686,nan
2,Sundargar,10,Biramitrapur,267,,,,,,,,9,126,271,113,3,5,32,2,561,nan,3.0,564,nan
2,Sundargar,10,Biramitrapur,268,,,,,,,,8,104,299,152,2,10,13,4,592,nan,8.0,600,nan
2,Sundargar,10,Biramitrapur,269,,,,,,,,7,164,118,359,6,19,3,4,680,nan,6.0,686,nan
2,Sundargar,10,Biramitrapur,270,,,,,,,,8,118,119,194,1,9,5,7,461,nan,3.0,464,nan
2,Sundargar,10,Biramitrapur,271,,,,,,,,4,241,87,181,1,16,0,0,530,nan,4.0,534,nan
2,Sundargar,10,Biramitrapur,272,,,,,,,,8,118,117,146,5,60,0,11,465,nan,10.0,475,nan
2,Sundargar,10,Biramitrapur,273,,,,,,,,5,64,393,33,2,9,2,0,508,nan,3.0,511,nan
2,Sundargar,10,Biramitrapur,274,,,,,,,,3,214,209,155,4,21,2,3,611,nan,2.0,613,nan
2,Sundargar,10,Biramitrapur,275,,,,,,,,10,239,330,104,4,111,5,5,808,nan,17.0,825,nan
2,Sundargar,10,Biramitrapur,276,,,,,,,,7,381,294,101,2,3,3,2,793,nan,3.0,796,nan
2,Sundargar,10,Biramitrapur,277,,,,,,,,4,276,123,11,2,13,0,0,429,nan,0.0,429,nan
2,Sundargar,10,Biramitrapur,278,,,,,,,,3,139,14,128,4,2,5,2,297,nan,5.0,302,nan
2,Sundargar,10,Biramitrapur,279,,,,,,,,10,207,101,276,2,12,3,3,614,nan,9.0,623,nan
2,Sundargar,10,Biramitrapur,280,,,,,,,,9,437,52,323,7,4,1,3,836,nan,5.0,841,nan
2,Sundargar,10,Biramitrapur,281,,,,,,,,1,94,12,184,1,2,1,2,297,nan,3.0,300,nan
2,Sundargar,10,Biramitrapur,282,,,,,,,,8,140,60,292,1,0,1,2,504,nan,3.0,507,nan
2,Sundargar,10,Biramitrapur,283,,,,,,,,1,194,111,269,1,2,0,2,580,nan,2.0,582,nan
2,Sundargar,10,Biramitrapur,284,,,,,,,,2,278,151,99,1,1,1,0,533,nan,1.0,534,nan
