pc_id,pc_name,ac_id,ac_name,Sl. No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total of Valid Votes,No.of rejected votes       (Test Votes),Votes for NOTA option,Total,No.of Tendered Votes
11,Kalahandi,73,Lanjigarh,156.0,,,,,,,,376.0,235.0,24.0,270.0,13.0,918.0,0.0,36.0,954.0,0.0
11,Kalahandi,73,Lanjigarh,157.0,,,,,,,,120.0,237.0,10.0,87.0,11.0,465.0,0.0,18.0,483.0,0.0
11,Kalahandi,73,Lanjigarh,158.0,,,,,,,,585.0,133.0,6.0,160.0,1.0,885.0,0.0,4.0,889.0,0.0
11,Kalahandi,73,Lanjigarh,159.0,,,,,,,,222.0,384.0,17.0,194.0,12.0,829.0,0.0,28.0,857.0,0.0
11,Kalahandi,73,Lanjigarh,160.0,,,,,,,,102.0,77.0,17.0,135.0,4.0,335.0,0.0,11.0,346.0,0.0
11,Kalahandi,73,Lanjigarh,161.0,,,,,,,,298.0,258.0,17.0,272.0,15.0,860.0,0.0,32.0,892.0,0.0
11,Kalahandi,73,Lanjigarh,162.0,,,,,,,,269.0,153.0,7.0,113.0,5.0,547.0,0.0,11.0,558.0,0.0
11,Kalahandi,73,Lanjigarh,163.0,,,,,,,,521.0,66.0,5.0,201.0,10.0,803.0,0.0,16.0,819.0,0.0
11,Kalahandi,73,Lanjigarh,164.0,,,,,,,,293.0,460.0,30.0,274.0,12.0,1069.0,0.0,17.0,1086.0,0.0
11,Kalahandi,73,Lanjigarh,165.0,,,,,,,,457.0,92.0,14.0,127.0,11.0,701.0,0.0,11.0,712.0,0.0
11,Kalahandi,73,Lanjigarh,166.0,,,,,,,,163.0,221.0,12.0,303.0,18.0,717.0,0.0,13.0,730.0,0.0
11,Kalahandi,73,Lanjigarh,167.0,,,,,,,,420.0,67.0,11.0,176.0,6.0,680.0,0.0,22.0,702.0,0.0
11,Kalahandi,73,Lanjigarh,168.0,,,,,,,,169.0,579.0,34.0,127.0,13.0,922.0,0.0,22.0,944.0,0.0
11,Kalahandi,73,Lanjigarh,169.0,,,,,,,,127.0,360.0,35.0,122.0,16.0,660.0,0.0,12.0,672.0,0.0
11,Kalahandi,73,Lanjigarh,170.0,,,,,,,,283.0,127.0,22.0,277.0,15.0,724.0,0.0,9.0,733.0,0.0
11,Kalahandi,73,Lanjigarh,171.0,,,,,,,,438.0,60.0,21.0,185.0,24.0,728.0,0.0,26.0,754.0,0.0
11,Kalahandi,73,Lanjigarh,172.0,,,,,,,,221.0,72.0,21.0,212.0,10.0,536.0,0.0,21.0,557.0,0.0
11,Kalahandi,73,Lanjigarh,173.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Kalahandi,73,Lanjigarh,174.0,,,,,,,,12.0,168.0,13.0,154.0,9.0,356.0,0.0,12.0,368.0,0.0
11,Kalahandi,73,Lanjigarh,175.0,,,,,,,,256.0,249.0,31.0,177.0,35.0,748.0,0.0,46.0,794.0,0.0
