pc_id,pc_name,ac_id,ac_name,Booth No,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total Valid Votes,No fo rejected Votes (Test votes),Votes for NOTA Option,Total,No of Tendered votes
7,Bhadrak,44,Simulia,55,,,,,,,,91,280,2,296,3,2,2.0,0,676,0,3,679,0
7,Bhadrak,44,Simulia,56,,,,,,,,42,267,2,225,2,1,0.0,0,539,0,2,541,0
7,Bhadrak,44,Simulia,57,,,,,,,,30,376,3,336,1,2,1.0,3,752,0,4,756,0
7,Bhadrak,44,Simulia,58,,,,,,,,83,287,3,313,1,0,1.0,0,688,0,0,688,0
7,Bhadrak,44,Simulia,59,,,,,,,,46,177,0,476,2,1,0.0,1,703,0,2,705,0
7,Bhadrak,44,Simulia,60,,,,,,,,41,115,0,237,0,1,4.0,2,400,0,3,403,0
7,Bhadrak,44,Simulia,61,,,,,,,,41,265,4,288,0,3,27.0,2,630,0,3,633,0
7,Bhadrak,44,Simulia,62,,,,,,,,38,294,1,237,4,1,16.0,2,593,0,2,595,0
7,Bhadrak,44,Simulia,63,,,,,,,,94,232,0,368,1,1,2.0,1,699,0,2,701,0
7,Bhadrak,44,Simulia,64,,,,,,,,62,125,3,471,6,2,0.0,4,673,0,8,681,0
7,Bhadrak,44,Simulia,65,,,,,,,,34,346,2,421,2,0,0.0,3,808,0,6,814,0
7,Bhadrak,44,Simulia,66,,,,,,,,47,232,2,416,2,0,1.0,1,701,0,4,705,0
7,Bhadrak,44,Simulia,67,,,,,,,,53,472,2,306,4,0,6.0,5,848,0,7,855,0
7,Bhadrak,44,Simulia,68,,,,,,,,49,436,3,366,4,3,1.0,8,870,0,9,879,0
7,Bhadrak,44,Simulia,69,,,,,,,,29,457,2,414,4,2,1.0,3,912,0,3,915,0
7,Bhadrak,44,Simulia,70,,,,,,,,51,419,2,319,5,2,1.0,1,800,0,4,804,0
7,Bhadrak,44,Simulia,71,,,,,,,,60,367,3,211,2,2,0.0,3,648,0,6,654,0
7,Bhadrak,44,Simulia,72,,,,,,,,67,338,5,255,5,2,0.0,1,673,0,5,678,0
7,Bhadrak,44,Simulia,73,,,,,,,,38,406,1,240,1,0,1.0,1,688,0,6,694,0
7,Bhadrak,44,Simulia,74,,,,,,,,60,347,5,301,1,1,1.0,2,718,0,8,726,0
7,Bhadrak,44,Simulia,75,,,,,,,,0,0,0,0,0,0,0.0,0,0,0,0,0,0
7,Bhadrak,44,Simulia,76,,,,,,,,30,297,2,457,1,0,0.0,1,788,0,2,790,0
7,Bhadrak,44,Simulia,77,,,,,,,,23,319,0,402,2,0,3.0,0,749,0,9,758,0
7,Bhadrak,44,Simulia,78,,,,,,,,57,242,3,469,4,3,0.0,1,779,0,2,781,0
7,Bhadrak,44,Simulia,79,,,,,,,,31,225,7,344,0,1,9.0,3,620,0,5,625,0
7,Bhadrak,44,Simulia,80,,,,,,,,10,104,3,282,0,2,0.0,2,403,0,4,407,0
7,Bhadrak,44,Simulia,81,,,,,,,,18,151,1,185,1,0,0.0,0,356,0,1,357,0
7,Bhadrak,44,Simulia,82,,,,,,,,27,224,2,292,2,0,0.0,16,563,0,2,565,0
7,Bhadrak,44,Simulia,83,,,,,,,,71,343,6,500,4,3,1.0,18,946,0,2,948,0
7,Bhadrak,44,Simulia,84,,,,,,,,247,41,3,346,2,1,0.0,0,640,0,2,642,0
7,Bhadrak,44,Simulia,85,,,,,,,,32,180,1,253,1,0,0.0,0,467,0,0,467,0
7,Bhadrak,44,Simulia,86,,,,,,,,32,279,2,275,3,3,0.0,0,594,0,0,594,0
7,Bhadrak,44,Simulia,87,,,,,,,,28,248,7,229,0,1,0.0,0,513,0,1,514,0
7,Bhadrak,44,Simulia,88,,,,,,,,42,210,9,386,1,1,2.0,0,651,0,0,651,0
