pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total of Valid votes,No. of Rejected votes,NOTA,Total,No. of Tendered Votes
9,Dhenkanal,57,Dhenkanal,166,,,,,,,,386,5,36,319,4,4,3,757,0,4,761,0
9,Dhenkanal,57,Dhenkanal,167,,,,,,,,466,8,11,302,3,1,4,795,0,6,801,0
9,Dhenkanal,57,Dhenkanal,168,,,,,,,,488,6,8,355,15,2,4,878,0,11,889,0
9,Dhenkanal,57,Dhenkanal,169,,,,,,,,505,3,14,350,2,2,2,878,0,1,879,0
9,Dhenkanal,57,Dhenkanal,170,,,,,,,,274,4,11,233,5,2,1,530,0,4,534,0
9,Dhenkanal,57,Dhenkanal,171,,,,,,,,597,6,10,396,6,10,4,1029,0,22,1051,0
9,Dhenkanal,57,Dhenkanal,172,,,,,,,,343,4,17,304,1,0,2,671,0,2,673,0
9,Dhenkanal,57,Dhenkanal,173,,,,,,,,206,1,10,138,3,0,0,358,0,1,359,0
9,Dhenkanal,57,Dhenkanal,174,,,,,,,,350,6,20,274,5,4,5,664,0,11,675,0
9,Dhenkanal,57,Dhenkanal,175,,,,,,,,399,5,54,373,8,3,1,843,0,5,848,0
9,Dhenkanal,57,Dhenkanal,176,,,,,,,,190,1,13,197,1,3,1,406,0,1,407,0
9,Dhenkanal,57,Dhenkanal,177,,,,,,,,236,0,27,149,2,0,2,416,0,1,417,0
9,Dhenkanal,57,Dhenkanal,178,,,,,,,,321,3,60,173,1,1,2,561,0,4,565,0
9,Dhenkanal,57,Dhenkanal,179,,,,,,,,428,5,51,374,7,5,7,877,0,3,880,0
9,Dhenkanal,57,Dhenkanal,180,,,,,,,,504,12,82,293,13,10,5,919,0,10,929,0
9,Dhenkanal,57,Dhenkanal,181,,,,,,,,491,3,39,171,2,2,2,710,0,15,725,0
9,Dhenkanal,57,Dhenkanal,182,,,,,,,,430,3,8,22,2,2,2,469,0,1,470,0
9,Dhenkanal,57,Dhenkanal,183,,,,,,,,439,5,79,382,7,2,6,920,0,12,932,0
