pc_id,pc_name,ac_id,ac_name,Polling Booth No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Candidate 14,Candidate 15,Candidate 16,Total of valid votes,No of Rejected votes,NOTA,Total,No of tendered votes
17,Puri,113,Puri,98,,,,,,,,150,0,26,1,168,0,0,0,1,0,0,0,1,0,0,0,347.0,0,4,351,0
17,Puri,113,Puri,99,,,,,,,,139,1,12,0,169,0,0,0,0,0,0,1,0,0,0,0,322.0,0,3,325,0
17,Puri,113,Puri,100,,,,,,,,159,0,12,0,141,0,0,0,0,0,0,0,0,0,0,0,312.0,0,5,317,0
17,Puri,113,Puri,101,,,,,,,,74,0,6,0,116,0,0,0,0,0,1,0,0,0,0,0,197.0,0,3,200,0
17,Puri,113,Puri,102,,,,,,,,118,2,20,3,325,0,0,3,0,0,1,2,0,0,0,0,474.0,0,3,477,0
17,Puri,113,Puri,103,,,,,,,,95,1,26,3,253,0,0,0,0,0,5,1,0,0,2,0,386.0,0,2,388,0
17,Puri,113,Puri,104,,,,,,,,388,2,22,4,573,0,0,2,0,1,2,1,2,0,0,3,1000.0,0,10,1010,0
17,Puri,113,Puri,105,,,,,,,,386,1,69,1,448,3,1,4,2,16,2,4,4,2,4,4,951.0,0,6,957,0
17,Puri,113,Puri,106,,,,,,,,240,0,38,1,406,0,1,0,0,0,0,1,0,0,2,3,692.0,0,7,699,0
17,Puri,113,Puri,107,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
17,Puri,113,Puri,108,,,,,,,,212,3,44,3,526,1,4,2,0,1,5,3,2,1,3,6,816.0,0,7,823,0
17,Puri,113,Puri,109,,,,,,,,213,10,39,6,532,2,2,1,0,0,4,0,3,8,2,6,828.0,0,16,844,0
17,Puri,113,Puri,110,,,,,,,,267,6,33,8,524,1,4,0,2,0,1,6,2,4,4,2,864.0,0,7,871,0
17,Puri,113,Puri,111,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
17,Puri,113,Puri,112,,,,,,,,264,3,61,1,529,4,0,1,0,0,2,4,1,0,1,0,871.0,0,7,878,0
17,Puri,113,Puri,113,,,,,,,,309,2,15,2,378,1,0,0,0,0,1,4,0,0,2,1,715.0,0,6,721,0
17,Puri,113,Puri,114,,,,,,,,284,0,20,0,254,1,0,1,0,0,0,9,0,0,0,0,569.0,0,18,587,0
17,Puri,113,Puri,115,,,,,,,,254,1,13,1,231,0,0,1,0,0,0,0,0,0,1,1,503.0,0,10,513,0
17,Puri,113,Puri,116,,,,,,,,201,1,21,0,215,0,0,0,0,0,0,1,0,0,0,2,441.0,0,4,445,0
17,Puri,113,Puri,117,,,,,,,,196,2,15,2,233,0,0,0,1,0,1,3,0,0,0,0,453.0,0,7,460,0
17,Puri,113,Puri,118,,,,,,,,227,0,42,0,192,0,0,0,0,0,1,1,0,0,0,0,463.0,0,4,467,0
17,Puri,113,Puri,119,,,,,,,,217,0,13,0,240,0,0,0,1,0,0,0,1,0,0,0,472.0,0,5,477,0
17,Puri,113,Puri,120,,,,,,,,165,1,31,1,200,0,0,0,0,0,0,1,0,0,3,3,405.0,0,12,417,0
