pc_id,pc_name,ac_id,ac_name,Sl No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of valid votes,No of votes rejected,NOTA,Total
10,Bolangir,64,Birmaharajpur,219,,,,,,,,449,76,9,108,2,1,0,2,0,647,0,1,648
10,Bolangir,64,Birmaharajpur,220,,,,,,,,336,144,13,302,1,2,3,10,5,816,0,2,818
10,Bolangir,64,Birmaharajpur,221,,,,,,,,394,71,5,161,2,1,3,8,3,648,0,6,654
10,Bolangir,64,Birmaharajpur,222,,,,,,,,192,254,11,365,4,3,3,14,2,848,0,15,863
10,Bolangir,64,Birmaharajpur,223,,,,,,,,354,107,1,132,1,1,0,7,0,603,0,5,608
10,Bolangir,64,Birmaharajpur,224,,,,,,,,337,108,3,134,3,1,2,16,1,605,0,3,608
10,Bolangir,64,Birmaharajpur,225,,,,,,,,189,136,0,100,1,2,0,3,0,431,0,2,433
10,Bolangir,64,Birmaharajpur,226,,,,,,,,246,54,1,50,0,0,0,8,1,360,0,0,360
10,Bolangir,64,Birmaharajpur,227,,,,,,,,243,130,1,128,4,1,2,26,4,539,0,9,548
10,Bolangir,64,Birmaharajpur,228,,,,,,,,325,164,1,149,2,1,0,53,2,697,0,2,699
10,Bolangir,64,Birmaharajpur,229,,,,,,,,255,43,0,83,3,1,0,9,0,394,0,2,396
10,Bolangir,64,Birmaharajpur,230,,,,,,,,184,36,2,121,1,0,2,6,2,354,0,3,357
10,Bolangir,64,Birmaharajpur,231,,,,,,,,133,108,5,107,1,0,1,6,3,364,0,0,364
10,Bolangir,64,Birmaharajpur,232,,,,,,,,211,87,2,97,13,0,2,1,0,413,0,2,415
10,Bolangir,64,Birmaharajpur,233,,,,,,,,399,94,2,293,5,3,1,9,2,808,0,3,811
10,Bolangir,64,Birmaharajpur,234,,,,,,,,286,11,1,90,0,0,2,6,1,397,0,1,398
10,Bolangir,64,Birmaharajpur,235,,,,,,,,241,119,4,259,2,2,3,25,6,661,0,3,664
10,Bolangir,64,Birmaharajpur,236,,,,,,,,191,56,2,159,1,1,0,5,0,415,0,1,416
10,Bolangir,64,Birmaharajpur,237,,,,,,,,353,205,11,266,9,1,1,6,5,857,0,6,863
10,Bolangir,64,Birmaharajpur,238,,,,,,,,331,43,2,254,2,0,0,10,1,643,0,7,650
10,Bolangir,64,Birmaharajpur,239,,,,,,,,119,150,3,95,2,0,1,4,0,374,0,1,375
10,Bolangir,64,Birmaharajpur,240,,,,,,,,164,54,3,83,2,0,1,0,3,310,0,2,312
10,Bolangir,64,Birmaharajpur,241,,,,,,,,515,98,5,226,5,2,1,8,4,864,0,4,868
10,Bolangir,64,Birmaharajpur,242,,,,,,,,371,99,3,160,0,0,1,8,2,644,0,3,647
10,Bolangir,64,Birmaharajpur,243,,,,,,,,456,101,1,124,6,3,1,69,22,783,0,4,787
10,Bolangir,64,Birmaharajpur,244,,,,,,,,152,125,5,88,3,2,1,5,16,397,0,0,397
10,Bolangir,64,Birmaharajpur,245,,,,,,,,316,286,8,412,18,3,4,15,1,1063,0,3,1066
10,Bolangir,64,Birmaharajpur,246,,,,,,,,221,104,5,149,4,1,1,11,8,504,0,6,510
10,Bolangir,64,Birmaharajpur,247,,,,,,,,208,99,13,147,4,2,1,3,3,480,0,5,485
10,Bolangir,64,Birmaharajpur,248,,,,,,,,189,21,3,137,4,2,1,5,4,366,0,2,368
10,Bolangir,64,Birmaharajpur,249,,,,,,,,322,233,3,290,3,2,1,18,8,880,0,3,883
10,Bolangir,64,Birmaharajpur,250,,,,,,,,368,120,7,300,3,5,1,16,9,829,0,11,840
10,Bolangir,64,Birmaharajpur,251,,,,,,,,413,98,3,254,4,3,0,18,3,796,0,2,798
