pc_id,pc_name,ac_id,ac_name,Booth No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total Valid votes,No. of Rejected Votes,Votes for NOTA option,Total,No. of Tendered Votes
4,Keonjhar,22,Telkoi,84,,,,,,,,210,278,451,2,1,0,0,1,943,0,1.0,944,0
4,Keonjhar,22,Telkoi,85,,,,,,,,238,185,223,2,1,4,4,3,660,0,9.0,669,0
4,Keonjhar,22,Telkoi,86,,,,,,,,289,266,326,2,4,1,1,3,892,0,8.0,900,0
4,Keonjhar,22,Telkoi,87,,,,,,,,208,260,440,4,0,1,1,1,915,0,6.0,921,0
4,Keonjhar,22,Telkoi,88,,,,,,,,123,196,226,2,4,0,2,2,555,0,3.0,558,0
4,Keonjhar,22,Telkoi,89,,,,,,,,137,141,208,2,1,3,3,1,496,0,3.0,499,0
4,Keonjhar,22,Telkoi,90,,,,,,,,204,167,190,1,3,1,0,4,570,0,2.0,572,0
4,Keonjhar,22,Telkoi,91,,,,,,,,169,122,171,1,0,2,0,2,467,0,6.0,473,0
4,Keonjhar,22,Telkoi,92,,,,,,,,309,131,383,3,1,5,1,11,844,0,8.0,852,0
4,Keonjhar,22,Telkoi,93,,,,,,,,112,63,128,1,0,1,0,0,305,0,4.0,309,0
4,Keonjhar,22,Telkoi,94,,,,,,,,152,179,229,4,0,1,0,1,566,0,4.0,570,0
4,Keonjhar,22,Telkoi,95,,,,,,,,161,133,225,2,1,1,0,1,524,0,4.0,528,0
4,Keonjhar,22,Telkoi,96,,,,,,,,18,406,250,0,0,0,0,0,674,0,0.0,674,0
4,Keonjhar,22,Telkoi,97,,,,,,,,110,169,249,1,0,0,2,3,534,0,2.0,536,0
4,Keonjhar,22,Telkoi,98,,,,,,,,161,142,280,3,4,0,3,3,596,0,1.0,597,0
4,Keonjhar,22,Telkoi,99,,,,,,,,136,134,275,4,1,0,3,5,558,0,9.0,567,0
4,Keonjhar,22,Telkoi,100,,,,,,,,165,231,400,2,1,2,2,3,806,0,10.0,816,0
4,Keonjhar,22,Telkoi,101,,,,,,,,228,145,409,6,4,3,3,3,801,0,4.0,805,0
4,Keonjhar,22,Telkoi,102,,,,,,,,167,105,289,6,3,1,1,8,580,0,3.0,583,0
4,Keonjhar,22,Telkoi,103,,,,,,,,267,163,322,1,0,1,1,1,756,0,1.0,757,0
4,Keonjhar,22,Telkoi,104,,,,,,,,210,320,212,6,2,1,1,0,752,0,2.0,754,0
4,Keonjhar,22,Telkoi,105,,,,,,,,243,367,193,1,2,0,1,0,807,0,1.0,808,0
4,Keonjhar,22,Telkoi,106,,,,,,,,179,190,88,1,2,0,0,1,461,0,4.0,465,0
4,Keonjhar,22,Telkoi,107,,,,,,,,163,236,79,1,0,2,0,0,481,0,3.0,484,0
4,Keonjhar,22,Telkoi,108,,,,,,,,148,198,230,1,0,1,1,2,581,0,0.0,581,0
