pc_id,pc_name,ac_id,ac_name,Sl. No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total No. of Valid Votes,No.of rejected votes      (Test votes),Votes for NOTA option,Total,No of Tendered Votes
11,Kalahandi,76,Bhawanipatna,184,,,,,,,,7,47,442,279,12,787,0,16,803,0
11,Kalahandi,76,Bhawanipatna,185,,,,,,,,2,8,280,30,4,324,0,4,328,0
11,Kalahandi,76,Bhawanipatna,186,,,,,,,,8,100,244,370,15,737,0,14,751,0
11,Kalahandi,76,Bhawanipatna,187,,,,,,,,15,59,222,603,19,918,0,32,950,0
11,Kalahandi,76,Bhawanipatna,188,,,,,,,,5,46,313,215,10,589,0,4,593,0
11,Kalahandi,76,Bhawanipatna,189,,,,,,,,10,20,162,272,21,485,0,29,514,0
11,Kalahandi,76,Bhawanipatna,190,,,,,,,,8,38,170,638,38,892,0,16,908,0
11,Kalahandi,76,Bhawanipatna,191,,,,,,,,5,12,273,286,6,582,0,5,587,0
11,Kalahandi,76,Bhawanipatna,192,,,,,,,,4,68,327,485,14,898,0,22,920,0
11,Kalahandi,76,Bhawanipatna,193,,,,,,,,3,35,448,281,6,773,0,6,779,0
11,Kalahandi,76,Bhawanipatna,194,,,,,,,,8,23,560,121,9,721,0,9,730,0
11,Kalahandi,76,Bhawanipatna,195,,,,,,,,0,51,208,216,7,482,0,9,491,0
11,Kalahandi,76,Bhawanipatna,196,,,,,,,,6,32,230,125,9,402,0,9,411,0
11,Kalahandi,76,Bhawanipatna,197,,,,,,,,3,89,296,220,9,617,0,10,627,0
11,Kalahandi,76,Bhawanipatna,198,,,,,,,,1,43,169,359,5,577,0,6,583,0
11,Kalahandi,76,Bhawanipatna,199,,,,,,,,11,35,415,99,16,576,0,22,598,0
11,Kalahandi,76,Bhawanipatna,200,,,,,,,,6,182,324,324,16,852,0,27,879,0
11,Kalahandi,76,Bhawanipatna,201,,,,,,,,12,41,272,217,30,572,0,25,597,0
11,Kalahandi,76,Bhawanipatna,202,,,,,,,,7,75,212,361,16,671,0,18,689,0
11,Kalahandi,76,Bhawanipatna,203,,,,,,,,4,27,247,100,6,384,0,6,390,0
11,Kalahandi,76,Bhawanipatna,204,,,,,,,,7,67,466,184,10,734,0,13,747,0
11,Kalahandi,76,Bhawanipatna,205,,,,,,,,4,112,257,327,13,713,0,22,735,0
11,Kalahandi,76,Bhawanipatna,206,,,,,,,,1,26,463,167,3,660,0,1,661,0
11,Kalahandi,76,Bhawanipatna,207,,,,,,,,8,74,292,322,8,704,0,5,709,0
11,Kalahandi,76,Bhawanipatna,208,,,,,,,,1,67,208,354,9,639,0,11,650,0
11,Kalahandi,76,Bhawanipatna,209,,,,,,,,7,107,377,264,11,766,0,13,779,0
11,Kalahandi,76,Bhawanipatna,210,,,,,,,,18,85,191,355,19,668,0,9,677,0
11,Kalahandi,76,Bhawanipatna,211,,,,,,,,6,115,247,591,19,978,0,9,987,0
11,Kalahandi,76,Bhawanipatna,212,,,,,,,,13,85,127,295,12,532,0,13,545,0
11,Kalahandi,76,Bhawanipatna,213,,,,,,,,4,35,268,237,8,552,0,16,568,0
11,Kalahandi,76,Bhawanipatna,214,,,,,,,,7,23,270,265,11,576,0,2,578,0
11,Kalahandi,76,Bhawanipatna,215,,,,,,,,2,28,280,283,5,598,0,11,609,0
11,Kalahandi,76,Bhawanipatna,216,,,,,,,,9,26,497,465,7,1004,0,13,1017,0
11,Kalahandi,76,Bhawanipatna,217,,,,,,,,11,41,321,212,7,592,0,10,602,0
11,Kalahandi,76,Bhawanipatna,218,,,,,,,,11,77,135,146,7,376,0,11,387,0
11,Kalahandi,76,Bhawanipatna,219,,,,,,,,0,0,0,0,0,0,0,0,0,0
11,Kalahandi,76,Bhawanipatna,220,,,,,,,,9,80,103,185,7,384,0,16,400,0
11,Kalahandi,76,Bhawanipatna,221,,,,,,,,1,165,423,397,13,999,0,3,1002,0
11,Kalahandi,76,Bhawanipatna,222,,,,,,,,2,46,217,235,8,508,0,9,517,0
11,Kalahandi,76,Bhawanipatna,223,,,,,,,,15,39,395,336,38,823,0,32,855,0
11,Kalahandi,76,Bhawanipatna,224,,,,,,,,1,11,205,119,7,343,0,10,353,0
11,Kalahandi,76,Bhawanipatna,225,,,,,,,,9,65,333,537,48,992,0,34,1026,0
11,Kalahandi,76,Bhawanipatna,226,,,,,,,,12,32,358,236,11,649,0,10,659,0
11,Kalahandi,76,Bhawanipatna,227,,,,,,,,3,87,71,205,6,372,0,5,377,0
11,Kalahandi,76,Bhawanipatna,228,,,,,,,,11,86,226,314,20,657,0,24,681,0
11,Kalahandi,76,Bhawanipatna,229,,,,,,,,11,215,310,343,14,893,0,10,903,0
11,Kalahandi,76,Bhawanipatna,230,,,,,,,,5,198,352,262,16,833,0,10,843,0
11,Kalahandi,76,Bhawanipatna,231,,,,,,,,7,182,418,236,11,854,0,11,865,0
11,Kalahandi,76,Bhawanipatna,232,,,,,,,,3,57,239,225,7,531,0,8,539,0
11,Kalahandi,76,Bhawanipatna,233,,,,,,,,6,78,491,445,21,1041,0,6,1047,0
11,Kalahandi,76,Bhawanipatna,234,,,,,,,,6,72,334,265,14,691,0,11,702,0
11,Kalahandi,76,Bhawanipatna,235,,,,,,,,3,38,188,357,5,591,0,7,598,0
11,Kalahandi,76,Bhawanipatna,236,,,,,,,,6,84,351,375,17,833,0,21,854,0
11,Kalahandi,76,Bhawanipatna,237,,,,,,,,16,114,458,368,13,969,0,19,988,0
11,Kalahandi,76,Bhawanipatna,238,,,,,,,,7,127,159,361,9,663,0,20,683,0
