pc_id,pc_name,ac_id,ac_name,Serial No.of Polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of valid votes,No of rejected votes (Test votes),Voter for NOTA option,Total,No of tendered votes
6,Balasore,37,Jaleswar,230,,,,,,,,2,149,278,0,57,0,0,1,2,0,489,0.0,1,490,nan
6,Balasore,37,Jaleswar,231,,,,,,,,2,317,545,1,124,0,0,0,0,1,990,0.0,2,992,nan
6,Balasore,37,Jaleswar,232,,,,,,,,3,135,212,1,56,0,0,0,1,0,408,0.0,1,409,nan
6,Balasore,37,Jaleswar,233,,,,,,,,4,313,372,0,100,0,0,0,1,1,791,0.0,0,791,nan
6,Balasore,37,Jaleswar,234,,,,,,,,5,347,492,0,58,0,0,0,2,0,904,0.0,1,905,nan
6,Balasore,37,Jaleswar,235,,,,,,,,2,296,249,1,119,0,0,0,5,0,672,0.0,0,672,nan
6,Balasore,37,Jaleswar,236,,,,,,,,2,227,282,1,105,0,0,1,4,0,622,0.0,0,622,nan
6,Balasore,37,Jaleswar,237,,,,,,,,1,311,258,1,202,0,0,0,3,1,777,0.0,2,779,nan
6,Balasore,37,Jaleswar,238,,,,,,,,1,206,313,2,283,2,0,1,2,1,811,0.0,2,813,nan
6,Balasore,37,Jaleswar,239,,,,,,,,1,244,349,1,189,0,0,0,0,1,785,0.0,2,787,nan
6,Balasore,37,Jaleswar,240,,,,,,,,7,367,301,3,286,1,3,2,6,2,978,0.0,6,984,nan
6,Balasore,37,Jaleswar,241,,,,,,,,1,342,417,1,300,1,0,3,0,0,1065,0.0,2,1067,nan
6,Balasore,37,Jaleswar,242,,,,,,,,5,261,385,4,225,2,0,0,0,1,883,0.0,3,886,nan
6,Balasore,37,Jaleswar,243,,,,,,,,2,348,467,2,60,1,0,0,0,0,880,0.0,1,881,nan
6,Balasore,37,Jaleswar,244,,,,,,,,5,315,506,1,76,0,1,1,1,3,909,0.0,0,909,nan
6,Balasore,37,Jaleswar,245,,,,,,,,2,195,323,0,35,0,0,0,4,0,559,0.0,0,559,nan
6,Balasore,37,Jaleswar,246,,,,,,,,2,231,249,0,60,1,0,0,0,0,543,0.0,0,543,nan
6,Balasore,37,Jaleswar,247,,,,,,,,4,267,418,1,54,2,0,0,1,1,748,0.0,0,748,nan
6,Balasore,37,Jaleswar,248,,,,,,,,1,445,566,1,54,1,1,0,4,0,1073,0.0,1,1074,nan
