pc_id,pc_name,ac_id,ac_name,Serion No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of valid votes,No. of rejected Votes (Test Votes),Votes for NOTA option,Total,No. of tendered votes
5,Mayurbhanj,28,Morada,261,,,,,,,,4,319,251,4,16,1,2,20,1,618,nan,4,622,nan
5,Mayurbhanj,28,Morada,262,,,,,,,,6,306,314,1,9,0,1,10,2,649,nan,8,657,nan
5,Mayurbhanj,28,Morada,263,,,,,,,,5,247,194,3,82,1,7,3,3,545,nan,8,553,nan
5,Mayurbhanj,28,Morada,264,,,,,,,,10,553,212,7,39,4,8,28,8,869,nan,9,878,nan
5,Mayurbhanj,28,Morada,265,,,,,,,,2,285,84,2,51,1,1,3,5,434,nan,3,437,nan
5,Mayurbhanj,28,Morada,266,,,,,,,,7,406,181,3,27,1,1,4,4,634,nan,2,636,nan
5,Mayurbhanj,28,Morada,267,,,,,,,,4,286,180,2,25,1,5,23,4,530,nan,7,537,nan
5,Mayurbhanj,28,Morada,268,,,,,,,,4,408,199,6,35,3,2,15,0,672,nan,6,678,nan
5,Mayurbhanj,28,Morada,269,,,,,,,,3,453,173,1,32,0,2,7,4,675,nan,4,679,nan
5,Mayurbhanj,28,Morada,271,,,,,,,,2,161,111,3,77,3,3,1,1,362,nan,1,363,nan
5,Mayurbhanj,28,Morada,272,,,,,,,,4,332,194,8,90,1,2,4,4,639,nan,8,647,nan
5,Mayurbhanj,28,Morada,273,,,,,,,,18,391,158,9,74,7,6,14,7,684,nan,26,710,nan
5,Mayurbhanj,28,Morada,274,,,,,,,,4,371,205,3,296,6,4,6,5,900,nan,8,908,nan
5,Mayurbhanj,28,Morada,275,,,,,,,,1,100,143,2,393,4,1,5,1,650,nan,4,654,nan
5,Mayurbhanj,28,Morada,276,,,,,,,,0,192,48,3,294,1,3,0,2,543,nan,2,545,nan
5,Mayurbhanj,28,Morada,277,,,,,,,,2,73,132,7,228,4,2,1,2,451,nan,2,453,nan
5,Mayurbhanj,28,Morada,278,,,,,,,,2,349,256,1,238,4,1,4,0,855,nan,1,856,nan
5,Mayurbhanj,28,Morada,279,,,,,,,,8,21,113,1,219,2,4,0,1,369,nan,1,370,nan
5,Mayurbhanj,28,Morada,280,,,,,,,,2,73,89,1,195,3,9,1,1,374,nan,2,376,nan
5,Mayurbhanj,28,Morada,281,,,,,,,,9,294,265,3,35,0,2,7,0,615,nan,9,624,nan
5,Mayurbhanj,28,Morada,282,,,,,,,,11,355,278,3,121,3,8,8,4,791,nan,5,796,nan
5,Mayurbhanj,28,Morada,283,,,,,,,,4,172,191,3,103,2,4,13,5,497,nan,2,499,nan
5,Mayurbhanj,28,Morada,284,,,,,,,,2,134,95,4,92,0,0,1,2,330,nan,2,332,nan
5,Mayurbhanj,28,Morada,285,,,,,,,,3,328,104,3,81,2,2,7,0,530,nan,3,533,nan
5,Mayurbhanj,28,Morada,286,,,,,,,,5,176,98,0,23,1,5,1,0,309,nan,4,313,nan
5,Mayurbhanj,28,Morada,287,,,,,,,,5,193,167,4,117,0,2,5,5,498,nan,3,501,nan
5,Mayurbhanj,28,Morada,288,,,,,,,,8,172,207,8,291,3,6,24,3,722,nan,2,724,nan
5,Mayurbhanj,28,Morada,289,,,,,,,,3,171,168,4,174,2,5,1,1,529,nan,7,536,nan
5,Mayurbhanj,28,Morada,290,,,,,,,,4,359,130,2,50,1,1,0,0,547,nan,3,550,nan
5,Mayurbhanj,28,Morada,291,,,,,,,,2,66,171,0,271,0,2,8,0,520,nan,3,523,nan
5,Mayurbhanj,28,Morada,292,,,,,,,,3,103,175,4,250,5,4,45,2,591,nan,4,595,nan
5,Mayurbhanj,28,Morada,293,,,,,,,,5,243,100,4,164,1,2,12,0,531,nan,6,537,nan
5,Mayurbhanj,28,Morada,294,,,,,,,,3,137,120,1,129,1,5,9,4,409,nan,8,417,nan
5,Mayurbhanj,28,Morada,295,,,,,,,,1,156,101,3,66,1,4,1,1,334,nan,2,336,nan
