pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of valid votes,No. of rejected votes (Test votes),Votes for NOTA option,Total No. of tendered votes
3,Sambalpur,14,Athamallik,290,,,,,,,,15,1,39,86,5,7,118,14,285,nan,28,nan
3,Sambalpur,14,Athamallik,291,,,,,,,,89,8,38,150,10,11,28,47,381,nan,35,nan
3,Sambalpur,14,Athamallik,292,,,,,,,,41,17,222,102,23,14,30,198,647,nan,20,nan
3,Sambalpur,14,Athamallik,293,,,,,,,,25,2,91,365,7,6,25,5,526,nan,9,nan
3,Sambalpur,14,Athamallik,294,,,,,,,,47,8,143,141,8,7,48,10,412,nan,17,nan
3,Sambalpur,14,Athamallik,295,,,,,,,,102,10,94,297,8,7,13,7,538,nan,8,nan
3,Sambalpur,14,Athamallik,296,,,,,,,,54,12,174,295,21,17,60,12,645,nan,4,nan
3,Sambalpur,14,Athamallik,297,,,,,,,,168,24,173,286,17,14,11,29,722,nan,84,nan
3,Sambalpur,14,Athamallik,298,,,,,,,,69,27,142,95,15,17,14,200,579,nan,42,nan
3,Sambalpur,14,Athamallik,299,,,,,,,,82,14,255,126,5,8,13,12,515,nan,20,nan
3,Sambalpur,14,Athamallik,300,,,,,,,,42,5,69,91,14,5,5,5,236,nan,10,nan
3,Sambalpur,14,Athamallik,301,,,,,,,,48,20,72,31,9,6,9,149,344,nan,11,nan
3,Sambalpur,14,Athamallik,302,,,,,,,,34,5,196,175,10,10,4,15,449,nan,27,nan
3,Sambalpur,14,Athamallik,303,,,,,,,,124,17,174,177,21,9,17,23,562,nan,5,nan
3,Sambalpur,14,Athamallik,304,,,,,,,,82,4,279,249,8,2,10,2,636,nan,5,nan
3,Sambalpur,14,Athamallik,305,,,,,,,,94,7,225,230,10,4,7,6,583,nan,5,nan
3,Sambalpur,14,Athamallik,306,,,,,,,,69,8,165,87,28,4,17,6,384,nan,24,nan
3,Sambalpur,14,Athamallik,307,,,,,,,,152,11,221,166,16,7,5,5,583,nan,10,nan
3,Sambalpur,14,Athamallik,308,,,,,,,,163,10,290,124,3,4,4,4,602,nan,6,nan
