pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Candidate 14,Candidate 15,Candidate 16,Total of valid votes,No. of rejected votes,NOTA,Total,No of tendered votes
4,Keonjhar,25,Patna,115,,,,,,,,16,114,321,16,4,1,1,0,3,3,6,0,1,1,1,6,494,nan,1,495,nan
4,Keonjhar,25,Patna,116,,,,,,,,4,124,152,14,2,5,2,6,1,4,4,3,5,2,5,4,337,nan,1,338,nan
4,Keonjhar,25,Patna,117,,,,,,,,5,364,304,10,4,6,4,5,6,15,3,5,1,7,4,6,749,nan,1,750,nan
4,Keonjhar,25,Patna,118,,,,,,,,6,300,111,2,2,0,2,2,2,3,2,1,2,3,1,5,444,nan,1,445,nan
4,Keonjhar,25,Patna,119,,,,,,,,16,241,124,9,1,2,4,0,1,5,1,5,0,6,1,12,428,nan,2,430,nan
4,Keonjhar,25,Patna,120,,,,,,,,8,170,180,12,1,7,1,3,1,4,1,2,3,4,5,3,405,nan,0,405,nan
4,Keonjhar,25,Patna,121,,,,,,,,6,35,222,4,1,3,2,5,4,2,4,4,2,1,1,5,301,nan,1,302,nan
4,Keonjhar,25,Patna,122,,,,,,,,14,314,101,21,6,6,4,5,9,9,7,4,8,0,4,7,519,nan,9,528,nan
4,Keonjhar,25,Patna,123,,,,,,,,6,248,180,10,5,3,6,7,2,10,2,5,4,1,1,4,494,nan,3,497,nan
4,Keonjhar,25,Patna,124,,,,,,,,4,337,311,33,5,4,2,5,2,9,3,2,5,5,19,6,752,nan,2,754,nan
4,Keonjhar,25,Patna,125,,,,,,,,11,186,180,15,3,1,1,3,4,4,2,0,3,4,6,5,428,nan,1,429,nan
4,Keonjhar,25,Patna,126,,,,,,,,16,343,161,13,3,2,3,7,7,12,6,8,4,3,3,8,599,nan,3,602,nan
4,Keonjhar,25,Patna,127,,,,,,,,9,563,190,11,2,2,3,2,3,6,3,2,1,0,3,7,807,nan,5,812,nan
4,Keonjhar,25,Patna,128,,,,,,,,7,367,276,20,3,2,3,1,0,9,0,1,1,0,7,2,699,nan,2,701,nan
4,Keonjhar,25,Patna,129,,,,,,,,5,411,227,19,1,1,3,2,3,6,3,5,5,5,14,6,716,nan,2,718,nan
4,Keonjhar,25,Patna,130,,,,,,,,10,456,282,6,1,1,0,1,1,5,1,3,10,2,1,3,783,nan,3,786,nan
4,Keonjhar,25,Patna,131,,,,,,,,2,239,123,3,0,2,3,2,0,2,0,0,6,3,7,1,393,nan,2,395,nan
4,Keonjhar,25,Patna,132,,,,,,,,8,319,61,9,1,2,0,6,1,3,0,0,1,2,2,0,415,nan,0,415,nan
4,Keonjhar,25,Patna,133,,,,,,,,16,182,109,13,2,3,1,7,6,10,3,3,5,7,33,9,409,nan,5,414,nan
4,Keonjhar,25,Patna,134,,,,,,,,2,372,123,12,0,0,3,2,2,2,1,0,0,0,13,0,532,nan,1,533,nan
4,Keonjhar,25,Patna,135,,,,,,,,2,198,71,9,1,3,0,0,3,4,0,2,0,0,6,2,301,nan,0,301,nan
4,Keonjhar,25,Patna,136,,,,,,,,3,421,83,6,0,0,1,1,0,8,1,0,1,1,1,3,530,nan,1,531,nan
4,Keonjhar,25,Patna,137,,,,,,,,1,164,124,3,0,1,0,2,0,1,2,0,3,3,5,2,311,nan,0,311,nan
4,Keonjhar,25,Patna,138,,,,,,,,17,301,322,13,1,5,2,5,4,6,2,4,2,1,3,3,691,nan,6,697,nan
4,Keonjhar,25,Patna,139,,,,,,,,3,87,69,2,2,4,1,1,1,0,2,0,0,0,4,0,176,nan,0,176,nan
4,Keonjhar,25,Patna,140,,,,,,,,15,409,307,18,6,3,8,4,5,11,1,5,11,4,38,0,845,nan,3,848,nan
