pc_id,pc_name,ac_id,ac_name,Sl. No. Of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total valid votes,No. Of rejected votes (Test Votes),Votes for NOTA option,Total,No. of Tendered Votes
9,Dhenkanal,62,Talcher,135,,,,,,,,399.0,6.0,20.0,297.0,1.0,7.0,1.0,1.0,732.0,0.0,2.0,734.0,0.0
9,Dhenkanal,62,Talcher,136,,,,,,,,144.0,6.0,259.0,435.0,4.0,3.0,6.0,3.0,860.0,0.0,2.0,862.0,0.0
9,Dhenkanal,62,Talcher,137,,,,,,,,125.0,2.0,183.0,345.0,5.0,5.0,1.0,4.0,670.0,0.0,9.0,679.0,0.0
9,Dhenkanal,62,Talcher,138,,,,,,,,183.0,2.0,218.0,549.0,8.0,5.0,2.0,2.0,969.0,0.0,9.0,978.0,0.0
9,Dhenkanal,62,Talcher,139,,,,,,,,149.0,2.0,70.0,301.0,1.0,5.0,1.0,1.0,530.0,0.0,0.0,530.0,0.0
9,Dhenkanal,62,Talcher,140,,,,,,,,344.0,13.0,74.0,426.0,6.0,3.0,7.0,12.0,885.0,0.0,22.0,907.0,0.0
9,Dhenkanal,62,Talcher,141,,,,,,,,218.0,5.0,92.0,357.0,6.0,1.0,2.0,1.0,682.0,0.0,3.0,685.0,0.0
9,Dhenkanal,62,Talcher,142,,,,,,,,256.0,2.0,72.0,527.0,4.0,3.0,1.0,3.0,868.0,0.0,7.0,875.0,0.0
9,Dhenkanal,62,Talcher,143,,,,,,,,251.0,10.0,113.0,540.0,2.0,0.0,4.0,2.0,922.0,0.0,6.0,928.0,0.0
9,Dhenkanal,62,Talcher,144,,,,,,,,239.0,11.0,107.0,455.0,8.0,8.0,4.0,27.0,859.0,0.0,18.0,877.0,0.0
9,Dhenkanal,62,Talcher,145,,,,,,,,298.0,6.0,89.0,447.0,3.0,2.0,1.0,2.0,848.0,0.0,8.0,856.0,0.0
9,Dhenkanal,62,Talcher,146,,,,,,,,188.0,0.0,192.0,347.0,9.0,1.0,1.0,0.0,738.0,0.0,1.0,739.0,0.0
9,Dhenkanal,62,Talcher,147,,,,,,,,335.0,5.0,148.0,226.0,5.0,1.0,0.0,1.0,721.0,0.0,0.0,721.0,0.0
9,Dhenkanal,62,Talcher,148,,,,,,,,260.0,7.0,28.0,399.0,1.0,2.0,1.0,0.0,698.0,0.0,3.0,701.0,0.0
9,Dhenkanal,62,Talcher,149,,,,,,,,373.0,10.0,38.0,327.0,1.0,1.0,1.0,4.0,755.0,0.0,5.0,760.0,0.0
9,Dhenkanal,62,Talcher,150,,,,,,,,220.0,4.0,65.0,257.0,0.0,2.0,3.0,2.0,553.0,0.0,5.0,558.0,0.0
9,Dhenkanal,62,Talcher,151,,,,,,,,549.0,15.0,76.0,226.0,5.0,11.0,1.0,6.0,889.0,0.0,22.0,911.0,0.0
9,Dhenkanal,62,Talcher,152,,,,,,,,488.0,11.0,64.0,269.0,1.0,2.0,0.0,1.0,836.0,0.0,7.0,843.0,0.0
9,Dhenkanal,62,Talcher,153,,,,,,,,390.0,5.0,85.0,430.0,3.0,1.0,1.0,4.0,919.0,0.0,1.0,920.0,0.0
9,Dhenkanal,62,Talcher,154,,,,,,,,281.0,1.0,21.0,280.0,2.0,3.0,0.0,1.0,589.0,0.0,5.0,594.0,0.0
9,Dhenkanal,62,Talcher,155,,,,,,,,321.0,7.0,70.0,533.0,3.0,4.0,1.0,4.0,943.0,0.0,4.0,947.0,0.0
9,Dhenkanal,62,Talcher,156,,,,,,,,279.0,5.0,15.0,227.0,0.0,2.0,0.0,2.0,530.0,0.0,4.0,534.0,0.0
9,Dhenkanal,62,Talcher,157,,,,,,,,237.0,9.0,52.0,282.0,2.0,4.0,3.0,1.0,590.0,0.0,3.0,593.0,0.0
9,Dhenkanal,62,Talcher,158,,,,,,,,247.0,4.0,77.0,346.0,6.0,5.0,4.0,2.0,691.0,0.0,6.0,697.0,0.0
9,Dhenkanal,62,Talcher,159,,,,,,,,252.0,3.0,71.0,307.0,1.0,0.0,1.0,0.0,635.0,0.0,1.0,636.0,0.0
9,Dhenkanal,62,Talcher,160,,,,,,,,244.0,10.0,162.0,438.0,4.0,3.0,1.0,2.0,864.0,0.0,7.0,871.0,0.0
9,Dhenkanal,62,Talcher,161,,,,,,,,168.0,0.0,41.0,216.0,1.0,3.0,3.0,11.0,443.0,0.0,6.0,449.0,0.0
9,Dhenkanal,62,Talcher,162,,,,,,,,374.0,9.0,191.0,423.0,1.0,5.0,1.0,8.0,1012.0,0.0,5.0,1017.0,0.0
9,Dhenkanal,62,Talcher,163,,,,,,,,242.0,5.0,127.0,481.0,1.0,1.0,1.0,2.0,860.0,0.0,5.0,865.0,0.0
9,Dhenkanal,62,Talcher,164,,,,,,,,496.0,7.0,119.0,435.0,1.0,4.0,0.0,0.0,1062.0,0.0,2.0,1064.0,0.0
9,Dhenkanal,62,Talcher,165,,,,,,,,381.0,13.0,57.0,635.0,1.0,4.0,4.0,2.0,1097.0,0.0,4.0,1101.0,0.0
9,Dhenkanal,62,Talcher,166,,,,,,,,264.0,12.0,13.0,366.0,4.0,8.0,4.0,3.0,674.0,0.0,6.0,680.0,0.0
