pc_id,pc_name,ac_id,ac_name,Serial No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total Valid Votes,No fo rejected Votes(Test votes),Votes for NOTA Option,Total,No of Tendered votes
7,Bhadrak,45,Bhandaripokhari,172,,,,,,,,357,1,1,284,106,1,750,0,1,751,0.0
7,Bhadrak,45,Bhandaripokhari,173,,,,,,,,130,2,2,302,77,2,515,0,1,516,0.0
7,Bhadrak,45,Bhandaripokhari,174,,,,,,,,83,0,0,408,19,0,510,0,0,510,0.0
7,Bhadrak,45,Bhandaripokhari,175,,,,,,,,211,0,5,190,62,1,469,0,2,471,0.0
7,Bhadrak,45,Bhandaripokhari,176,,,,,,,,286,0,2,240,71,1,600,0,1,601,0.0
7,Bhadrak,45,Bhandaripokhari,177,,,,,,,,257,0,0,288,66,0,611,0,1,612,0.0
7,Bhadrak,45,Bhandaripokhari,178,,,,,,,,358,0,0,257,73,1,689,0,4,693,0.0
7,Bhadrak,45,Bhandaripokhari,179,,,,,,,,374,2,3,316,149,0,844,0,4,848,0.0
7,Bhadrak,45,Bhandaripokhari,180,,,,,,,,125,1,0,201,111,1,439,0,0,439,0.0
7,Bhadrak,45,Bhandaripokhari,181,,,,,,,,283,3,8,415,273,3,985,0,3,988,0.0
7,Bhadrak,45,Bhandaripokhari,182,,,,,,,,126,1,1,400,336,2,866,0,2,868,0.0
7,Bhadrak,45,Bhandaripokhari,183,,,,,,,,40,0,1,219,197,2,459,0,3,462,0.0
7,Bhadrak,45,Bhandaripokhari,184,,,,,,,,76,0,1,257,189,0,523,0,1,524,0.0
7,Bhadrak,45,Bhandaripokhari,185,,,,,,,,136,2,0,421,233,2,794,0,2,796,0.0
7,Bhadrak,45,Bhandaripokhari,186,,,,,,,,125,1,1,380,310,1,818,0,6,824,0.0
7,Bhadrak,45,Bhandaripokhari,187,,,,,,,,145,3,4,397,222,1,772,0,6,778,0.0
7,Bhadrak,45,Bhandaripokhari,188,,,,,,,,82,5,11,357,221,4,680,0,3,683,0.0
7,Bhadrak,45,Bhandaripokhari,189,,,,,,,,157,0,10,441,184,0,792,0,1,793,0.0
7,Bhadrak,45,Bhandaripokhari,190,,,,,,,,64,1,0,426,257,3,751,0,3,754,0.0
7,Bhadrak,45,Bhandaripokhari,191,,,,,,,,113,2,1,483,371,1,971,0,5,976,0.0
7,Bhadrak,45,Bhandaripokhari,192,,,,,,,,38,1,0,158,471,1,669,0,4,673,0.0
7,Bhadrak,45,Bhandaripokhari,193,,,,,,,,240,0,1,185,146,2,574,0,2,576,0.0
7,Bhadrak,45,Bhandaripokhari,194,,,,,,,,39,0,0,302,240,1,582,0,3,585,0.0
7,Bhadrak,45,Bhandaripokhari,195,,,,,,,,76,0,2,439,283,2,802,0,2,804,0.0
7,Bhadrak,45,Bhandaripokhari,196,,,,,,,,34,0,3,419,323,2,781,0,2,783,0.0
7,Bhadrak,45,Bhandaripokhari,197,,,,,,,,149,3,4,506,239,2,903,0,6,909,0.0
7,Bhadrak,45,Bhandaripokhari,198,,,,,,,,34,1,2,194,130,2,363,0,2,365,0.0
7,Bhadrak,45,Bhandaripokhari,199,,,,,,,,29,0,0,232,115,0,376,0,1,377,0.0
7,Bhadrak,45,Bhandaripokhari,200,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
7,Bhadrak,45,Bhandaripokhari,201,,,,,,,,50,3,0,244,260,0,557,0,1,558,0.0
7,Bhadrak,45,Bhandaripokhari,202,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
7,Bhadrak,45,Bhandaripokhari,203,,,,,,,,149,4,2,424,362,1,942,0,10,952,0.0
7,Bhadrak,45,Bhandaripokhari,204,,,,,,,,45,1,1,245,114,2,408,0,3,411,0.0
7,Bhadrak,45,Bhandaripokhari,205,,,,,,,,152,2,3,297,91,3,548,0,5,553,0.0
7,Bhadrak,45,Bhandaripokhari,206,,,,,,,,41,0,3,358,358,3,763,0,2,765,0.0
7,Bhadrak,45,Bhandaripokhari,207,,,,,,,,40,1,2,392,338,3,776,0,5,781,0.0
7,Bhadrak,45,Bhandaripokhari,208,,,,,,,,137,4,2,330,287,1,761,0,5,766,0.0
7,Bhadrak,45,Bhandaripokhari,209,,,,,,,,92,3,3,283,137,0,518,0,0,518,0.0
7,Bhadrak,45,Bhandaripokhari,210,,,,,,,,282,1,1,262,49,4,599,0,6,605,0.0
7,Bhadrak,45,Bhandaripokhari,211,,,,,,,,86,0,3,283,161,2,535,0,0,535,0.0
7,Bhadrak,45,Bhandaripokhari,212,,,,,,,,275,4,1,349,67,1,697,0,2,699,0.0
7,Bhadrak,45,Bhandaripokhari,213,,,,,,,,116,0,1,298,208,1,624,0,3,627,0.0
7,Bhadrak,45,Bhandaripokhari,214,,,,,,,,234,0,1,355,124,0,714,0,0,714,0.0
7,Bhadrak,45,Bhandaripokhari,215,,,,,,,,57,0,4,301,102,2,466,0,0,466,0.0
7,Bhadrak,45,Bhandaripokhari,216,,,,,,,,153,5,1,277,347,2,785,0,8,793,0.0
7,Bhadrak,45,Bhandaripokhari,217,,,,,,,,115,3,3,340,271,5,737,0,9,746,0.0
7,Bhadrak,45,Bhandaripokhari,218,,,,,,,,28,1,2,228,162,1,422,0,0,422,0.0
7,Bhadrak,45,Bhandaripokhari,219,,,,,,,,123,1,0,296,221,2,643,0,2,645,0.0
7,Bhadrak,45,Bhandaripokhari,220,,,,,,,,63,0,0,314,274,1,652,0,3,655,0.0
7,Bhadrak,45,Bhandaripokhari,221,,,,,,,,22,1,1,268,146,0,438,0,0,438,0.0
7,Bhadrak,45,Bhandaripokhari,222,,,,,,,,89,0,0,232,182,2,505,0,1,506,0.0
7,Bhadrak,45,Bhandaripokhari,223,,,,,,,,185,4,17,291,225,1,723,0,3,726,0.0
7,Bhadrak,45,Bhandaripokhari,224,,,,,,,,171,0,0,262,129,2,564,0,2,566,0.0
7,Bhadrak,45,Bhandaripokhari,225,,,,,,,,237,1,2,397,225,1,863,0,6,869,0.0
7,Bhadrak,45,Bhandaripokhari,226,,,,,,,,273,2,4,496,209,8,992,0,3,995,0.0
7,Bhadrak,45,Bhandaripokhari,227,,,,,,,,187,1,0,364,249,1,802,0,4,806,0.0
7,Bhadrak,45,Bhandaripokhari,228,,,,,,,,286,5,1,380,176,1,849,0,3,852,0.0
7,Bhadrak,45,Bhandaripokhari,229,,,,,,,,219,1,1,205,128,2,556,0,1,557,0.0
7,Bhadrak,45,Bhandaripokhari,230,,,,,,,,265,1,2,316,95,2,681,0,3,684,0.0
7,Bhadrak,45,Bhandaripokhari,231,,,,,,,,203,2,0,371,105,1,682,0,3,685,0.0
7,Bhadrak,45,Bhandaripokhari,232,,,,,,,,164,1,1,271,91,0,528,0,1,529,0.0
7,Bhadrak,45,Bhandaripokhari,233,,,,,,,,228,1,1,253,44,0,527,0,2,529,0.0
7,Bhadrak,45,Bhandaripokhari,234,,,,,,,,361,3,0,317,83,2,766,0,1,767,0.0
7,Bhadrak,45,Bhandaripokhari,235,,,,,,,,344,2,0,432,60,3,841,0,1,842,0.0
7,Bhadrak,45,Bhandaripokhari,236,,,,,,,,441,1,1,457,116,2,1018,0,6,1024,0.0
7,Bhadrak,45,Bhandaripokhari,237,,,,,,,,274,0,1,294,128,1,698,0,0,698,0.0
7,Bhadrak,45,Bhandaripokhari,238,,,,,,,,257,1,5,408,69,3,743,0,3,746,0.0
7,Bhadrak,45,Bhandaripokhari,239,,,,,,,,197,1,1,208,55,1,463,0,1,464,0.0
7,Bhadrak,45,Bhandaripokhari,240,,,,,,,,126,1,3,203,112,0,445,0,1,446,0.0
7,Bhadrak,45,Bhandaripokhari,241,,,,,,,,161,2,2,107,54,1,327,0,1,328,0.0
7,Bhadrak,45,Bhandaripokhari,242,,,,,,,,203,2,0,196,74,1,476,0,3,479,0.0
7,Bhadrak,45,Bhandaripokhari,243,,,,,,,,311,1,1,451,89,0,853,0,1,854,0.0
7,Bhadrak,45,Bhandaripokhari,244,,,,,,,,207,1,0,224,50,4,486,0,0,486,0.0
7,Bhadrak,45,Bhandaripokhari,245,,,,,,,,354,0,3,363,96,1,817,0,2,819,0.0
7,Bhadrak,45,Bhandaripokhari,246,,,,,,,,397,0,5,386,201,2,991,0,8,999,0.0
7,Bhadrak,45,Bhandaripokhari,247,,,,,,,,223,2,1,332,46,0,604,0,0,604,0.0
7,Bhadrak,45,Bhandaripokhari,248,,,,,,,,283,3,6,567,112,2,973,0,2,975,0.0
7,Bhadrak,45,Bhandaripokhari,249,,,,,,,,146,1,3,243,17,1,411,0,0,411,0.0
7,Bhadrak,45,Bhandaripokhari,250,,,,,,,,331,2,0,278,54,0,665,0,0,665,0.0
