pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,NOTA,No. of Tendered votes,No. of rejected votes,Total,Total votespolled,Total of valid votes
8,Jajpur,52,Barachana,88,,,,,,,,209,614,17,3,1,0,0,0,0,844,nan,844
8,Jajpur,52,Barachana,89,,,,,,,,333,477,27,3,1,2,0,0,0,843,nan,843
8,Jajpur,52,Barachana,90,,,,,,,,300,435,9,3,1,5,5,0,0,758,nan,753
8,Jajpur,52,Barachana,91,,,,,,,,291,437,12,0,3,5,3,0,0,751,nan,748
8,Jajpur,52,Barachana,92,,,,,,,,347,359,10,1,0,5,7,0,0,729,nan,722
8,Jajpur,52,Barachana,93,,,,,,,,137,638,64,1,2,1,3,0,0,846,nan,843
8,Jajpur,52,Barachana,94,,,,,,,,203,386,14,0,0,1,1,0,0,605,nan,604
8,Jajpur,52,Barachana,95,,,,,,,,325,393,13,2,3,1,6,0,0,743,nan,737
8,Jajpur,52,Barachana,96,,,,,,,,144,696,71,2,1,3,5,0,0,922,nan,917
8,Jajpur,52,Barachana,97,,,,,,,,188,277,15,1,0,3,3,0,0,487,nan,484
8,Jajpur,52,Barachana,98,,,,,,,,272,399,14,1,0,2,0,0,0,688,nan,688
8,Jajpur,52,Barachana,99,,,,,,,,264,624,25,2,1,2,2,0,0,920,nan,918
8,Jajpur,52,Barachana,100,,,,,,,,225,461,31,1,2,0,2,0,0,722,nan,720
8,Jajpur,52,Barachana,101,,,,,,,,263,508,14,0,0,4,10,0,0,799,nan,789
8,Jajpur,52,Barachana,102,,,,,,,,214,338,18,4,0,1,6,0,0,581,nan,575
8,Jajpur,52,Barachana,103,,,,,,,,204,646,21,4,2,0,6,0,0,883,nan,877
8,Jajpur,52,Barachana,104,,,,,,,,158,427,14,1,2,0,4,0,0,606,nan,602
8,Jajpur,52,Barachana,105,,,,,,,,198,562,11,2,1,2,3,0,0,779,nan,776
8,Jajpur,52,Barachana,106,,,,,,,,87,747,16,0,2,1,6,0,0,859,nan,853
8,Jajpur,52,Barachana,107,,,,,,,,189,445,21,1,1,0,1,0,0,658,nan,657
8,Jajpur,52,Barachana,108,,,,,,,,156,510,26,1,0,3,2,0,0,698,nan,696
8,Jajpur,52,Barachana,109,,,,,,,,289,489,11,1,1,3,5,0,0,799,nan,794
8,Jajpur,52,Barachana,110,,,,,,,,319,510,37,0,2,7,4,0,0,879,nan,875
8,Jajpur,52,Barachana,111,,,,,,,,336,351,14,3,1,3,6,0,0,714,nan,708
8,Jajpur,52,Barachana,112,,,,,,,,305,533,11,4,9,7,23,0,0,892,nan,869
8,Jajpur,52,Barachana,113,,,,,,,,278,552,37,1,2,2,0,0,0,872,nan,872
8,Jajpur,52,Barachana,114,,,,,,,,199,285,9,1,0,2,3,0,0,499,nan,496
8,Jajpur,52,Barachana,115,,,,,,,,226,370,14,3,0,2,7,0,0,622,nan,615
8,Jajpur,52,Barachana,116,,,,,,,,67,654,10,0,0,0,3,0,0,734,nan,731
8,Jajpur,52,Barachana,117,,,,,,,,91,561,6,2,1,1,2,0,0,664,nan,662
8,Jajpur,52,Barachana,118,,,,,,,,93,576,41,1,0,0,3,0,0,714,nan,711
8,Jajpur,52,Barachana,119,,,,,,,,437,459,46,2,2,3,6,0,0,955,nan,949
8,Jajpur,52,Barachana,120,,,,,,,,351,587,16,1,2,3,10,0,0,970,nan,960
8,Jajpur,52,Barachana,121,,,,,,,,162,154,7,0,0,0,1,0,0,324,nan,323
8,Jajpur,52,Barachana,122,,,,,,,,405,390,25,4,1,14,2,0,0,841,nan,839
8,Jajpur,52,Barachana,123,,,,,,,,472,538,15,3,1,41,4,0,0,1074,nan,1070
8,Jajpur,52,Barachana,124,,,,,,,,395,612,13,0,4,7,4,0,0,1035,nan,1031
8,Jajpur,52,Barachana,125,,,,,,,,40,427,12,1,0,1,0,0,0,481,nan,481
8,Jajpur,52,Barachana,126,,,,,,,,204,305,17,2,0,1,1,0,0,530,nan,529
8,Jajpur,52,Barachana,127,,,,,,,,81,160,221,0,1,3,0,0,0,466,nan,466
8,Jajpur,52,Barachana,128,,,,,,,,306,588,24,2,1,1,2,0,0,924,nan,922
8,Jajpur,52,Barachana,129,,,,,,,,358,623,34,2,0,2,1,0,0,1020,nan,1019
8,Jajpur,52,Barachana,130,,,,,,,,297,397,24,0,1,4,4,0,0,727,nan,723
8,Jajpur,52,Barachana,131,,,,,,,,255,325,4,0,1,1,11,0,0,597,nan,586
8,Jajpur,52,Barachana,132,,,,,,,,338,462,12,0,7,10,28,0,0,857,nan,829
8,Jajpur,52,Barachana,133,,,,,,,,0,0,0,0,0,0,0,0,0,0,nan,0
8,Jajpur,52,Barachana,134,,,,,,,,219,504,10,2,1,2,3,0,0,741,nan,738
