pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Unnamed: 10,Total Valid Votes,No. of Rejected Votes,NOTA,Total,No. of tendered votes
3,Sambalpur,17,Sambalpur,nan,,,,,,,,nan,"Dr. Aswini 
Kumar 
Pujahari","Jaya 
Narayan 
Mishra",Dilip Singh,"Dr. 
Raseswari 
Panigrahi","Laxman 
Kumar 
Bhoi","Jayabrata 
Dey","Jayashree 
Mishra","Prabhas 
Pruseth","Pragnya 
Patnaik",nan,nan,nan,nan,nan
3,Sambalpur,17,Sambalpur,152,,,,,,,,Peer Baba Chowk27,nan,349,2,242,0,5,0,1,3,629.0,0.0,1.0,630.0,0.0
3,Sambalpur,17,Sambalpur,153,,,,,,,,Nua Pada - 1,53,251,3,288,2,7,5,0,2,611.0,0.0,5.0,616.0,0.0
3,Sambalpur,17,Sambalpur,154,,,,,,,,Nua Pada - 2,18,304,4,254,1,40,0,2,3,626.0,0.0,7.0,633.0,0.0
3,Sambalpur,17,Sambalpur,155,,,,,,,,Nua Pada - 3,60,391,5,432,0,7,4,4,1,904.0,0.0,6.0,910.0,0.0
3,Sambalpur,17,Sambalpur,156,,,,,,,,Pension Pada - 1102,nan,45,13,312,0,26,0,0,0,498.0,0.0,3.0,501.0,0.0
3,Sambalpur,17,Sambalpur,157,,,,,,,,Pension Pada - 260,nan,240,8,220,2,12,0,0,1,543.0,0.0,4.0,547.0,0.0
3,Sambalpur,17,Sambalpur,158,,,,,,,,Pension Pada - 342,nan,292,70,269,0,19,3,1,6,702.0,0.0,2.0,704.0,0.0
3,Sambalpur,17,Sambalpur,159,,,,,,,,Pension Pada - 653,nan,258,22,268,1,17,0,0,3,622.0,0.0,3.0,625.0,0.0
3,Sambalpur,17,Sambalpur,160,,,,,,,,Pension Pada - 445,nan,49,12,162,0,7,0,1,3,279.0,0.0,1.0,280.0,0.0
3,Sambalpur,17,Sambalpur,161,,,,,,,,V.S.S.Nagar - 1 49,nan,159,0,262,1,4,1,0,2,478.0,0.0,1.0,479.0,0.0
3,Sambalpur,17,Sambalpur,162,,,,,,,,V.S.S.Nagar - 2 41,nan,266,4,270,1,1,1,0,2,586.0,0.0,3.0,589.0,0.0
3,Sambalpur,17,Sambalpur,163,,,,,,,,Bhutapada - 1 128,nan,113,12,297,2,24,2,1,5,584.0,0.0,7.0,591.0,0.0
3,Sambalpur,17,Sambalpur,164,,,,,,,,Bhutapada - 2 176,nan,15,6,462,0,50,1,0,1,711.0,0.0,2.0,713.0,0.0
3,Sambalpur,17,Sambalpur,165,,,,,,,,Bhutapada - 3,50,216,10,256,1,3,1,1,2,540.0,0.0,4.0,544.0,0.0
3,Sambalpur,17,Sambalpur,166,,,,,,,,Sunapali - 1,93,344,12,297,3,48,2,0,1,800.0,0.0,8.0,808.0,0.0
3,Sambalpur,17,Sambalpur,167,,,,,,,,Sunapali - 2,145,103,5,533,3,33,0,1,2,825.0,0.0,2.0,827.0,0.0
3,Sambalpur,17,Sambalpur,168,,,,,,,,Sunapali - 4,146,195,10,449,0,34,2,1,3,840.0,0.0,7.0,847.0,0.0
3,Sambalpur,17,Sambalpur,169,,,,,,,,Sunapali - 3,86,244,2,265,2,20,0,2,3,624.0,0.0,3.0,627.0,0.0
3,Sambalpur,17,Sambalpur,170,,,,,,,,Bhutapada - 4 138,nan,181,13,442,0,7,8,2,4,795.0,0.0,12.0,807.0,0.0
3,Sambalpur,17,Sambalpur,171,,,,,,,,Bhutapada - 5 124,nan,75,3,395,0,11,0,1,1,610.0,0.0,12.0,622.0,0.0
3,Sambalpur,17,Sambalpur,172,,,,,,,,Bhutapada - 6 125,nan,160,8,406,1,11,0,1,3,715.0,0.0,10.0,725.0,0.0
3,Sambalpur,17,Sambalpur,173,,,,,,,,Charbhati-1,58,393,6,284,1,3,1,1,5,752.0,0.0,1.0,753.0,0.0
3,Sambalpur,17,Sambalpur,174,,,,,,,,Charbhati-2,56,312,3,262,1,5,2,1,6,648.0,0.0,11.0,659.0,0.0
3,Sambalpur,17,Sambalpur,175,,,,,,,,nan,"Commissioner Colony - 1
114",291,37,393,4,64,2,1,3,909.0,0.0,5.0,914.0,0.0
3,Sambalpur,17,Sambalpur,176,,,,,,,,nan,"Commissioner Colony - 3
53",335,3,363,1,8,1,0,7,771.0,0.0,11.0,782.0,0.0
3,Sambalpur,17,Sambalpur,177,,,,,,,,nan,"Commissioner Colony-2
37",225,7,292,0,5,6,4,4,580.0,0.0,6.0,586.0,0.0
3,Sambalpur,17,Sambalpur,178,,,,,,,,nan,"Commissioner Colony - 2
31",149,2,177,1,14,2,1,0,377.0,0.0,4.0,381.0,0.0
3,Sambalpur,17,Sambalpur,179,,,,,,,,Pension Pada - 580,nan,178,5,436,1,7,0,3,3,713.0,0.0,7.0,720.0,0.0
3,Sambalpur,17,Sambalpur,180,,,,,,,,Gobindatala - 1 31,nan,300,2,319,0,4,0,0,3,659.0,0.0,5.0,664.0,0.0
3,Sambalpur,17,Sambalpur,181,,,,,,,,Gobindatala - 2 55,nan,309,2,405,4,7,2,0,4,788.0,0.0,5.0,793.0,0.0
3,Sambalpur,17,Sambalpur,182,,,,,,,,Gobindatala - 3 31,nan,265,3,305,0,4,0,1,2,611.0,0.0,3.0,614.0,0.0
3,Sambalpur,17,Sambalpur,183,,,,,,,,Dhanupali - 1,58,280,12,299,0,0,1,1,4,655.0,0.0,3.0,658.0,0.0
3,Sambalpur,17,Sambalpur,184,,,,,,,,Dhanupali -3,27,270,16,254,0,3,0,1,3,574.0,0.0,7.0,581.0,0.0
3,Sambalpur,17,Sambalpur,185,,,,,,,,Dhanupali - 2,36,231,9,301,1,4,0,0,2,584.0,0.0,4.0,588.0,0.0
3,Sambalpur,17,Sambalpur,186,,,,,,,,Dhanupali - 4,38,280,8,299,0,1,1,1,2,630.0,0.0,6.0,636.0,0.0
3,Sambalpur,17,Sambalpur,187,,,,,,,,Bhatara - 1,32,314,2,250,0,1,3,2,4,608.0,0.0,8.0,616.0,0.0
3,Sambalpur,17,Sambalpur,188,,,,,,,,Bhatara - 3,65,295,5,205,0,2,4,3,6,585.0,0.0,6.0,591.0,0.0
3,Sambalpur,17,Sambalpur,189,,,,,,,,Bhatara - 2,37,417,10,261,2,6,4,1,6,744.0,0.0,10.0,754.0,0.0
