pc_id,pc_name,ac_id,ac_name,Sl No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of valid votes,No.of rejected votes,Votes for NOTA options,Total votes,Total No.of tendered votes
18,Bhubaneswar,119,Khurda,69,,,,,,,,0,3,352,21,452,0,2,1,1,3,835,0,0,835,0
18,Bhubaneswar,119,Khurda,70,,,,,,,,2,5,481,20,303,1,2,0,1,1,816,0,0,816,0
18,Bhubaneswar,119,Khurda,71,,,,,,,,0,0,142,13,164,3,0,1,1,2,326,0,3,329,0
18,Bhubaneswar,119,Khurda,72,,,,,,,,2,7,330,71,328,5,2,0,3,6,754,0,5,759,0
18,Bhubaneswar,119,Khurda,73,,,,,,,,0,4,274,32,434,2,4,1,0,0,751,0,1,752,0
18,Bhubaneswar,119,Khurda,74,,,,,,,,0,2,177,3,120,2,0,0,0,0,304,0,0,304,0
18,Bhubaneswar,119,Khurda,75,,,,,,,,0,1,292,5,227,0,1,1,0,0,527,0,0,527,0
18,Bhubaneswar,119,Khurda,76,,,,,,,,5,2,335,41,188,1,1,1,2,1,577,0,0,577,0
18,Bhubaneswar,119,Khurda,77,,,,,,,,0,10,479,10,275,4,0,1,0,0,779,0,1,780,0
18,Bhubaneswar,119,Khurda,78,,,,,,,,1,5,382,36,217,2,0,0,0,4,647,0,7,654,0
18,Bhubaneswar,119,Khurda,79,,,,,,,,3,12,572,22,338,4,3,4,5,0,963,0,12,975,0
18,Bhubaneswar,119,Khurda,80,,,,,,,,0,8,327,18,279,1,2,3,2,3,643,0,4,647,0
18,Bhubaneswar,119,Khurda,81,,,,,,,,2,7,333,18,254,4,3,2,2,1,626,0,2,628,0
18,Bhubaneswar,119,Khurda,82,,,,,,,,1,4,210,58,203,1,1,0,0,0,478,0,0,478,0
18,Bhubaneswar,119,Khurda,83,,,,,,,,0,4,362,47,454,1,4,1,0,2,875,0,3,878,0
18,Bhubaneswar,119,Khurda,84,,,,,,,,2,5,292,88,143,2,2,1,3,2,540,0,0,540,0
18,Bhubaneswar,119,Khurda,85,,,,,,,,0,4,340,30,282,1,1,1,2,1,662,0,0,662,0
18,Bhubaneswar,119,Khurda,86,,,,,,,,0,5,363,16,480,3,1,2,4,2,876,0,4,880,0
18,Bhubaneswar,119,Khurda,87,,,,,,,,2,3,330,46,349,2,1,1,1,1,736,0,0,736,0
18,Bhubaneswar,119,Khurda,88,,,,,,,,0,1,30,3,33,0,1,0,0,0,68,0,1,69,0
18,Bhubaneswar,119,Khurda,89,,,,,,,,3,4,501,42,244,0,3,3,2,0,802,0,3,805,0
