pc_id,pc_name,ac_id,ac_name,Sl No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of Valid Votes,No.of Rejected Votes (Test Votes),Votes for NOTA Option,Total,No.of Tendered Votes
21,Koraput,143,Rayagada,186,,,,,,,,7.0,102.0,312.0,188.0,2.0,0.0,0.0,0.0,611,0,5.0,616,0
21,Koraput,143,Rayagada,187,,,,,,,,7.0,216.0,353.0,173.0,5.0,4.0,3.0,2.0,763,0,7.0,770,0
21,Koraput,143,Rayagada,188,,,,,,,,7.0,149.0,198.0,195.0,2.0,2.0,5.0,2.0,560,0,16.0,576,0
21,Koraput,143,Rayagada,189,,,,,,,,12.0,186.0,207.0,92.0,3.0,2.0,1.0,2.0,505,0,5.0,510,0
21,Koraput,143,Rayagada,190,,,,,,,,7.0,177.0,280.0,112.0,1.0,0.0,0.0,0.0,577,0,3.0,580,0
21,Koraput,143,Rayagada,191,,,,,,,,7.0,267.0,335.0,298.0,2.0,2.0,3.0,4.0,918,0,5.0,923,0
21,Koraput,143,Rayagada,192,,,,,,,,10.0,135.0,446.0,217.0,4.0,4.0,2.0,1.0,819,0,4.0,823,0
21,Koraput,143,Rayagada,193,,,,,,,,3.0,200.0,293.0,203.0,5.0,1.0,1.0,1.0,707,0,9.0,716,0
21,Koraput,143,Rayagada,194,,,,,,,,9.0,203.0,231.0,168.0,2.0,5.0,7.0,2.0,627,0,2.0,629,0
21,Koraput,143,Rayagada,195,,,,,,,,8.0,272.0,348.0,224.0,3.0,4.0,0.0,3.0,862,0,12.0,874,0
21,Koraput,143,Rayagada,196,,,,,,,,7.0,280.0,222.0,320.0,3.0,5.0,1.0,3.0,841,0,8.0,849,0
21,Koraput,143,Rayagada,197,,,,,,,,3.0,192.0,248.0,169.0,2.0,0.0,1.0,1.0,616,0,7.0,623,0
21,Koraput,143,Rayagada,198,,,,,,,,1.0,189.0,254.0,153.0,3.0,1.0,0.0,1.0,602,0,8.0,610,0
21,Koraput,143,Rayagada,199,,,,,,,,3.0,231.0,412.0,304.0,3.0,0.0,2.0,3.0,958,0,5.0,963,0
21,Koraput,143,Rayagada,200,,,,,,,,11.0,172.0,247.0,236.0,6.0,2.0,3.0,2.0,679,0,12.0,691,0
21,Koraput,143,Rayagada,201,,,,,,,,7.0,151.0,230.0,176.0,4.0,1.0,0.0,1.0,570,0,6.0,576,0
21,Koraput,143,Rayagada,202,,,,,,,,5.0,165.0,348.0,118.0,0.0,2.0,2.0,1.0,641,0,4.0,645,0
21,Koraput,143,Rayagada,203,,,,,,,,1.0,246.0,306.0,218.0,4.0,15.0,0.0,0.0,790,0,6.0,796,0
21,Koraput,143,Rayagada,204,,,,,,,,10.0,203.0,254.0,192.0,1.0,0.0,2.0,1.0,663,0,10.0,673,0
21,Koraput,143,Rayagada,205,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0
21,Koraput,143,Rayagada,206,,,,,,,,14.0,332.0,281.0,216.0,3.0,3.0,0.0,2.0,851,0,8.0,859,0
21,Koraput,143,Rayagada,207,,,,,,,,14.0,194.0,470.0,258.0,5.0,6.0,2.0,2.0,951,0,6.0,957,0
21,Koraput,143,Rayagada,208,,,,,,,,42.0,183.0,321.0,119.0,4.0,7.0,8.0,3.0,687,0,22.0,709,0
21,Koraput,143,Rayagada,209,,,,,,,,12.0,30.0,174.0,125.0,8.0,3.0,0.0,1.0,353,0,3.0,356,0
21,Koraput,143,Rayagada,210,,,,,,,,14.0,144.0,394.0,190.0,8.0,7.0,13.0,12.0,782,0,15.0,797,0
