pc_id,pc_name,ac_id,ac_name,Serial Number of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Total Valid Votes,Total,No. of tendered votes,Serial Number of Polling StationNo. of,Votes for NOTA option
5,Mayurbhanj,34,Baripada,212,,,,,,,,201.0,3.0,6.0,7.0,3.0,10.0,6.0,81.0,143.0,139.0,5.0,4.0,2.0,610,621,nan,nan,11.0
5,Mayurbhanj,34,Baripada,213,,,,,,,,159.0,3.0,2.0,1.0,0.0,3.0,36.0,19.0,159.0,24.0,1.0,1.0,1.0,409,411,nan,nan,2.0
5,Mayurbhanj,34,Baripada,214,,,,,,,,252.0,3.0,3.0,5.0,3.0,17.0,3.0,74.0,197.0,98.0,0.0,3.0,2.0,660,670,nan,nan,10.0
5,Mayurbhanj,34,Baripada,215,,,,,,,,203.0,1.0,1.0,0.0,2.0,8.0,44.0,55.0,371.0,53.0,1.0,1.0,0.0,740,744,nan,nan,4.0
5,Mayurbhanj,34,Baripada,216,,,,,,,,278.0,6.0,2.0,1.0,2.0,8.0,3.0,88.0,341.0,38.0,0.0,6.0,0.0,773,780,nan,nan,7.0
5,Mayurbhanj,34,Baripada,217,,,,,,,,202.0,2.0,1.0,4.0,4.0,22.0,11.0,163.0,299.0,65.0,4.0,6.0,5.0,788,796,nan,nan,8.0
5,Mayurbhanj,34,Baripada,218,,,,,,,,381.0,1.0,0.0,0.0,1.0,3.0,45.0,105.0,192.0,35.0,0.0,2.0,1.0,766,767,nan,nan,1.0
5,Mayurbhanj,34,Baripada,219,,,,,,,,159.0,1.0,1.0,1.0,2.0,17.0,7.0,21.0,119.0,165.0,6.0,1.0,6.0,506,508,nan,nan,2.0
5,Mayurbhanj,34,Baripada,220,,,,,,,,133.0,1.0,1.0,3.0,4.0,9.0,17.0,145.0,84.0,127.0,2.0,4.0,1.0,531,532,nan,nan,1.0
5,Mayurbhanj,34,Baripada,221,,,,,,,,164.0,0.0,0.0,0.0,0.0,8.0,0.0,53.0,190.0,0.0,0.0,0.0,1.0,416,416,nan,nan,0.0
5,Mayurbhanj,34,Baripada,222,,,,,,,,117.0,0.0,1.0,1.0,1.0,1.0,0.0,23.0,229.0,1.0,1.0,1.0,1.0,377,380,nan,nan,3.0
5,Mayurbhanj,34,Baripada,223,,,,,,,,205.0,1.0,1.0,5.0,1.0,8.0,4.0,56.0,393.0,41.0,3.0,2.0,1.0,721,723,nan,nan,2.0
5,Mayurbhanj,34,Baripada,224,,,,,,,,141.0,1.0,1.0,3.0,1.0,2.0,3.0,172.0,117.0,5.0,1.0,1.0,1.0,449,458,nan,nan,9.0
