pc_id,pc_name,ac_id,ac_name,Booth No,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total Valid Vote,No fo rejected Votes (Test votes),None of the Above(NOTA),Total,No of Tendered votes
7,Bhadrak,46,Bhadrak,59,,,,,,,,7,241,5,194,4,1,1,453,0,3,456,0
7,Bhadrak,46,Bhadrak,60,,,,,,,,23,480,3,491,2,2,3,1004,0,3,1007,0
7,Bhadrak,46,Bhadrak,61,,,,,,,,30,225,0,606,2,3,2,868,0,7,875,0
7,Bhadrak,46,Bhadrak,62,,,,,,,,18,302,1,366,5,0,2,694,0,1,695,0
7,Bhadrak,46,Bhadrak,63,,,,,,,,44,129,4,306,2,1,0,486,0,9,495,0
7,Bhadrak,46,Bhadrak,64,,,,,,,,14,289,6,410,3,1,9,732,0,9,741,0
7,Bhadrak,46,Bhadrak,65,,,,,,,,23,203,4,337,2,2,0,571,0,0,571,0
7,Bhadrak,46,Bhadrak,66,,,,,,,,8,342,2,383,2,1,1,739,0,5,744,0
7,Bhadrak,46,Bhadrak,67,,,,,,,,11,289,3,371,1,1,1,677,0,2,679,0
7,Bhadrak,46,Bhadrak,68,,,,,,,,2,249,2,275,3,1,0,532,0,1,533,0
7,Bhadrak,46,Bhadrak,69,,,,,,,,28,351,1,285,2,5,3,675,0,4,679,0
7,Bhadrak,46,Bhadrak,70,,,,,,,,69,302,1,361,0,1,0,734,0,1,735,0
7,Bhadrak,46,Bhadrak,71,,,,,,,,34,411,1,377,1,0,4,828,0,8,836,0
