pc_id,pc_name,ac_id,ac_name,S.No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA Option,Total,Total No. of Tender Votes
15,Kendrapara ,103,Aul,275,,,,,,,,60,0,436,198,0,0,0,0,1,695,0,5,700,0
15,Kendrapara ,103,Aul,276,,,,,,,,35,0,333,305,0,1,0,0,0,674,0,2,676,0
15,Kendrapara ,103,Aul,277,,,,,,,,58,2,295,138,0,0,1,0,3,497,0,4,501,0
15,Kendrapara ,103,Aul,278,,,,,,,,263,1,687,179,1,2,1,2,1,1137,0,4,1141,0
15,Kendrapara ,103,Aul,279,,,,,,,,240,3,577,273,1,1,0,1,0,1096,0,2,1098,0
15,Kendrapara ,103,Aul,280,,,,,,,,58,1,382,322,1,1,0,0,0,765,0,1,766,0
15,Kendrapara ,103,Aul,281,,,,,,,,104,0,356,46,1,1,1,0,0,509,0,5,514,0
15,Kendrapara ,103,Aul,282,,,,,,,,161,2,548,101,0,5,2,2,4,825,0,9,834,0
15,Kendrapara ,103,Aul,283,,,,,,,,114,4,474,352,3,1,3,2,1,954,0,1,955,0
15,Kendrapara ,103,Aul,284,,,,,,,,124,1,454,170,2,1,2,2,0,756,0,3,759,0
15,Kendrapara ,103,Aul,285,,,,,,,,82,2,565,210,2,3,0,1,0,865,0,0,865,0
15,Kendrapara ,103,Aul,286,,,,,,,,99,0,387,246,0,1,1,0,1,735,0,2,737,0
15,Kendrapara ,103,Aul,287,,,,,,,,75,1,447,168,0,0,0,0,2,693,0,1,694,0
15,Kendrapara ,103,Aul,288,,,,,,,,63,0,371,112,0,0,0,0,0,546,0,0,546,0
15,Kendrapara ,103,Aul,289,,,,,,,,28,2,378,103,0,0,0,0,0,511,0,2,513,0
15,Kendrapara ,103,Aul,290,,,,,,,,36,0,298,157,0,0,0,0,0,491,0,1,492,0
15,Kendrapara ,103,Aul,291,,,,,,,,59,3,448,260,0,0,0,0,1,771,0,3,774,0
15,Kendrapara ,103,Aul,292,,,,,,,,22,0,399,269,0,0,0,0,0,690,0,4,694,0
15,Kendrapara ,103,Aul,293,,,,,,,,20,1,296,182,0,0,0,0,0,499,0,0,499,0
15,Kendrapara ,103,Aul,294,,,,,,,,45,0,468,79,0,1,2,0,0,595,0,1,596,0
15,Kendrapara ,103,Aul,295,,,,,,,,55,0,382,91,0,0,0,0,0,528,0,1,529,0
15,Kendrapara ,103,Aul,296,,,,,,,,32,0,105,136,0,0,0,0,0,273,0,0,273,0
15,Kendrapara ,103,Aul,297,,,,,,,,24,0,260,147,0,0,0,0,1,432,0,1,433,0
15,Kendrapara ,103,Aul,298,,,,,,,,135,1,285,134,1,1,0,2,0,559,0,1,560,0
15,Kendrapara ,103,Aul,299,,,,,,,,99,1,330,244,0,0,0,1,0,675,0,5,680,0
15,Kendrapara ,103,Aul,300,,,,,,,,67,1,346,212,1,1,0,0,1,629,0,1,630,0
15,Kendrapara ,103,Aul,301,,,,,,,,95,0,460,258,0,0,0,0,0,813,0,1,814,0
