pc_id,pc_name,ac_id,ac_name,Sl. No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,NOTA,No. of Rejected votes,No. of Tendered Votes,Serial No. of Polling Station,Total,Total of Valid votes
10,Bolangir,69,Titlagarh,268,,,,,,,,109,134,3,54,2,1,1,2,4,0,0,268.0,310,306
10,Bolangir,69,Titlagarh,269,,,,,,,,158,100,1,173,5,0,0,1,5,0,0,269.0,443,438
10,Bolangir,69,Titlagarh,270,,,,,,,,123,214,3,114,4,4,1,1,3,0,0,270.0,467,464
10,Bolangir,69,Titlagarh,271,,,,,,,,176,113,14,78,4,4,2,2,7,0,0,271.0,400,393
10,Bolangir,69,Titlagarh,272,,,,,,,,231,293,9,156,5,8,4,3,7,0,0,272.0,716,709
10,Bolangir,69,Titlagarh,273,,,,,,,,178,161,7,157,14,7,1,2,3,0,0,273.0,530,527
10,Bolangir,69,Titlagarh,274,,,,,,,,243,492,10,49,8,4,4,7,24,0,0,274.0,841,817
10,Bolangir,69,Titlagarh,275,,,,,,,,72,199,3,93,8,0,1,1,1,0,0,275.0,378,377
10,Bolangir,69,Titlagarh,276,,,,,,,,127,206,2,167,4,3,4,1,6,0,0,276.0,520,514
10,Bolangir,69,Titlagarh,277,,,,,,,,110,244,6,94,4,3,0,1,3,0,0,277.0,465,462
10,Bolangir,69,Titlagarh,278,,,,,,,,146,260,2,69,5,4,2,1,7,0,0,278.0,496,489
10,Bolangir,69,Titlagarh,279,,,,,,,,234,432,13,204,9,12,4,2,11,0,0,279.0,921,910
10,Bolangir,69,Titlagarh,280,,,,,,,,147,260,12,245,12,5,7,2,8,0,0,280.0,698,690
10,Bolangir,69,Titlagarh,281,,,,,,,,328,389,6,48,3,1,1,3,6,0,0,281.0,785,779
10,Bolangir,69,Titlagarh,282,,,,,,,,279,233,4,155,11,6,4,4,9,0,0,282.0,705,696
10,Bolangir,69,Titlagarh,283,,,,,,,,107,116,4,88,3,0,1,1,0,0,0,283.0,320,320
10,Bolangir,69,Titlagarh,284,,,,,,,,125,224,4,169,4,2,4,3,13,0,0,284.0,548,535
10,Bolangir,69,Titlagarh,285,,,,,,,,120,89,2,60,6,3,4,0,5,0,0,285.0,289,284
10,Bolangir,69,Titlagarh,286,,,,,,,,359,232,3,100,12,5,7,6,15,0,0,286.0,739,724
10,Bolangir,69,Titlagarh,287,,,,,,,,487,435,15,114,19,4,3,5,4,0,0,287.0,1086,1082
10,Bolangir,69,Titlagarh,288,,,,,,,,387,279,4,25,12,3,2,3,9,0,0,288.0,724,715
10,Bolangir,69,Titlagarh,289,,,,,,,,222,255,2,136,13,6,4,8,8,0,0,289.0,654,646
10,Bolangir,69,Titlagarh,290,,,,,,,,167,263,3,86,6,0,1,4,6,0,0,290.0,536,530
10,Bolangir,69,Titlagarh,291,,,,,,,,188,147,2,66,6,5,3,5,4,0,0,291.0,426,422
