pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of valid Votes,No. of rejected Votes ( Test votes),Votes for NOTA option,Total,No. of tendered votes
12,Nabarangpur,77,Chitrakonda,273,,,,,,,,539,222,105,10,5,5,8,8,902,0,5,907,0
12,Nabarangpur,77,Chitrakonda,274,,,,,,,,270,161,97,12,4,2,12,8,566,0,14,580,0
12,Nabarangpur,77,Chitrakonda,275,,,,,,,,564,132,156,12,6,7,12,11,900,0,18,918,0
12,Nabarangpur,77,Chitrakonda,276,,,,,,,,441,164,162,11,1,0,1,0,780,0,4,784,0
12,Nabarangpur,77,Chitrakonda,277,,,,,,,,227,43,32,4,4,1,1,0,312,0,1,313,0
12,Nabarangpur,77,Chitrakonda,278,,,,,,,,473,40,40,1,2,3,2,2,563,0,11,574,0
12,Nabarangpur,77,Chitrakonda,279,,,,,,,,393,32,50,2,1,0,1,3,482,0,12,494,0
12,Nabarangpur,77,Chitrakonda,280,,,,,,,,644,58,104,4,6,3,7,1,827,0,2,829,0
12,Nabarangpur,77,Chitrakonda,281,,,,,,,,299,271,96,19,12,12,15,15,739,0,14,753,0
12,Nabarangpur,77,Chitrakonda,282,,,,,,,,86,87,37,1,2,4,0,2,219,0,0,219,0
12,Nabarangpur,77,Chitrakonda,283,,,,,,,,209,248,404,15,7,2,2,5,892,0,13,905,0
12,Nabarangpur,77,Chitrakonda,284,,,,,,,,243,197,108,8,8,2,5,0,571,0,4,575,0
12,Nabarangpur,77,Chitrakonda,285,,,,,,,,236,114,48,9,7,8,8,13,443,0,48,491,0
12,Nabarangpur,77,Chitrakonda,286,,,,,,,,322,245,83,14,4,9,13,11,701,0,24,725,0
12,Nabarangpur,77,Chitrakonda,287,,,,,,,,253,166,204,12,1,2,5,7,650,0,10,660,0
12,Nabarangpur,77,Chitrakonda,288,,,,,,,,196,37,121,3,2,5,2,0,366,0,4,370,0
12,Nabarangpur,77,Chitrakonda,289,,,,,,,,387,240,234,9,3,1,2,4,880,0,8,888,0
12,Nabarangpur,77,Chitrakonda,290,,,,,,,,347,70,154,26,14,9,10,11,641,0,18,659,0
12,Nabarangpur,77,Chitrakonda,291,,,,,,,,190,127,294,27,13,11,9,8,679,0,18,697,0
12,Nabarangpur,77,Chitrakonda,292,,,,,,,,215,73,188,23,8,5,11,8,531,0,27,558,0
12,Nabarangpur,77,Chitrakonda,293,,,,,,,,321,45,57,3,2,2,3,6,439,0,16,455,0
