pc_id,pc_name,ac_id,ac_name,Sl. No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of valid votes,No. of Rejected votes,NOTA,Total,No. of tendered votes
16,Jagatsinghpur,107,Paradeep,116,,,,,,,,8,341,196,3,0,3,556,0,5,560,0
16,Jagatsinghpur,107,Paradeep,117,,,,,,,,7,220,159,1,0,1,391,0,3,393,0
16,Jagatsinghpur,107,Paradeep,118,,,,,,,,18,385,421,12,2,5,852,0,9,879,0
16,Jagatsinghpur,107,Paradeep,119,,,,,,,,9,455,327,3,1,4,805,0,6,814,0
16,Jagatsinghpur,107,Paradeep,120,,,,,,,,13,473,483,9,5,7,1014,0,24,1017,0
16,Jagatsinghpur,107,Paradeep,121,,,,,,,,11,332,213,1,2,5,568,0,4,572,0
16,Jagatsinghpur,107,Paradeep,122,,,,,,,,18,431,308,1,6,4,774,0,6,775,0
16,Jagatsinghpur,107,Paradeep,123,,,,,,,,12,413,301,5,3,5,746,0,7,747,0
16,Jagatsinghpur,107,Paradeep,124,,,,,,,,7,365,231,4,0,0,615,0,8,618,0
16,Jagatsinghpur,107,Paradeep,125,,,,,,,,16,424,312,2,4,1,766,0,7,770,0
16,Jagatsinghpur,107,Paradeep,126,,,,,,,,7,384,192,0,2,2,598,0,11,600,0
16,Jagatsinghpur,107,Paradeep,127,,,,,,,,15,447,353,0,4,0,825,0,6,828,0
16,Jagatsinghpur,107,Paradeep,128,,,,,,,,15,419,250,2,3,3,699,0,7,704,0
16,Jagatsinghpur,107,Paradeep,129,,,,,,,,15,438,497,5,2,1,970,0,12,986,0
16,Jagatsinghpur,107,Paradeep,130,,,,,,,,9,443,270,2,3,1,732,0,4,735,0
16,Jagatsinghpur,107,Paradeep,131,,,,,,,,14,491,304,4,8,6,830,0,3,834,0
16,Jagatsinghpur,107,Paradeep,132,,,,,,,,8,374,426,3,0,1,818,0,6,819,0
16,Jagatsinghpur,107,Paradeep,133,,,,,,,,15,376,510,2,4,4,921,0,10,926,0
16,Jagatsinghpur,107,Paradeep,134,,,,,,,,9,398,520,6,3,6,949,0,7,952,0
16,Jagatsinghpur,107,Paradeep,135,,,,,,,,17,402,138,0,3,2,567,0,5,567,0
16,Jagatsinghpur,107,Paradeep,136,,,,,,,,11,320,240,0,2,0,582,0,9,584,0
16,Jagatsinghpur,107,Paradeep,137,,,,,,,,8,326,168,1,0,3,516,0,10,520,0
16,Jagatsinghpur,107,Paradeep,138,,,,,,,,19,460,407,1,9,4,908,0,8,909,0
16,Jagatsinghpur,107,Paradeep,139,,,,,,,,20,403,354,7,3,7,813,0,19,815,0
16,Jagatsinghpur,107,Paradeep,140,,,,,,,,14,490,240,0,0,6,756,0,6,757,0
16,Jagatsinghpur,107,Paradeep,141,,,,,,,,13,410,285,2,0,1,718,0,7,718,0
16,Jagatsinghpur,107,Paradeep,142,,,,,,,,12,388,233,0,1,0,639,0,5,648,0
16,Jagatsinghpur,107,Paradeep,143,,,,,,,,6,392,113,3,2,0,525,0,9,526,0
16,Jagatsinghpur,107,Paradeep,144,,,,,,,,9,404,255,4,1,5,682,0,4,685,0
16,Jagatsinghpur,107,Paradeep,145,,,,,,,,16,526,177,1,4,2,735,0,9,741,0
16,Jagatsinghpur,107,Paradeep,146,,,,,,,,6,453,258,4,2,6,738,0,9,741,0
16,Jagatsinghpur,107,Paradeep,147,,,,,,,,14,540,334,2,4,5,910,0,11,911,0
16,Jagatsinghpur,107,Paradeep,148,,,,,,,,15,412,265,1,5,4,718,0,16,719,0
16,Jagatsinghpur,107,Paradeep,149,,,,,,,,8,499,380,3,1,0,902,0,11,902,0
16,Jagatsinghpur,107,Paradeep,150,,,,,,,,11,446,434,3,4,3,906,0,5,913,0
16,Jagatsinghpur,107,Paradeep,151,,,,,,,,8,263,279,1,1,0,555,0,3,557,0
16,Jagatsinghpur,107,Paradeep,152,,,,,,,,6,225,222,1,0,1,460,0,5,462,0
16,Jagatsinghpur,107,Paradeep,153,,,,,,,,10,369,347,7,3,2,750,0,12,750,0
16,Jagatsinghpur,107,Paradeep,154,,,,,,,,2,185,136,1,2,5,331,0,0,338,0
16,Jagatsinghpur,107,Paradeep,155,,,,,,,,17,279,236,1,2,2,545,0,8,546,0
16,Jagatsinghpur,107,Paradeep,156,,,,,,,,8,192,179,1,3,1,388,0,4,390,0
16,Jagatsinghpur,107,Paradeep,157,,,,,,,,8,306,332,5,5,3,664,0,5,679,0
16,Jagatsinghpur,107,Paradeep,158,,,,,,,,8,229,499,2,4,6,754,0,6,754,0
