pc_id,pc_name,ac_id,ac_name,Serial no of Polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of valid votes,No. of rejected Votes(Testes),VotesforNOTA option,Total,No. of tendered votes
21,Koraput,144,Lakshmipur,48,,,,,,,,127,37,11,119,4,11,12,16,337,0,13,350,0
21,Koraput,144,Lakshmipur,49,,,,,,,,210,62,13,174,7,9,19,10,504,0,26,530,0
21,Koraput,144,Lakshmipur,50,,,,,,,,243,97,1,128,11,12,12,15,519,0,28,547,0
21,Koraput,144,Lakshmipur,51,,,,,,,,225,24,9,124,11,9,13,7,422,0,10,432,0
21,Koraput,144,Lakshmipur,52,,,,,,,,179,73,7,221,6,2,6,1,495,0,12,507,0
21,Koraput,144,Lakshmipur,53,,,,,,,,148,24,6,122,2,5,7,7,321,0,11,332,0
21,Koraput,144,Lakshmipur,54,,,,,,,,415,89,15,207,7,5,12,6,756,0,9,765,0
21,Koraput,144,Lakshmipur,55,,,,,,,,220,104,19,233,7,16,8,12,619,0,17,636,0
21,Koraput,144,Lakshmipur,56,,,,,,,,191,39,5,221,4,2,6,8,476,0,8,484,0
21,Koraput,144,Lakshmipur,57,,,,,,,,317,126,22,121,15,10,9,1,621,0,10,631,0
21,Koraput,144,Lakshmipur,58,,,,,,,,372,307,35,288,22,19,15,12,1070,0,8,1078,0
21,Koraput,144,Lakshmipur,59,,,,,,,,316,145,14,545,8,4,10,14,1056,0,21,1077,0
21,Koraput,144,Lakshmipur,60,,,,,,,,472,106,23,279,15,15,17,19,946,0,28,974,0
21,Koraput,144,Lakshmipur,61,,,,,,,,164,165,9,233,4,3,6,8,592,0,11,603,0
21,Koraput,144,Lakshmipur,62,,,,,,,,149,124,13,200,9,14,5,10,524,0,18,542,0
21,Koraput,144,Lakshmipur,63,,,,,,,,48,98,4,214,8,0,2,1,375,0,12,387,0
21,Koraput,144,Lakshmipur,64,,,,,,,,441,55,17,208,16,15,21,20,793,0,63,856,0
21,Koraput,144,Lakshmipur,65,,,,,,,,154,105,5,267,11,8,3,10,563,0,6,569,0
21,Koraput,144,Lakshmipur,66,,,,,,,,206,100,17,185,9,4,9,4,534,0,13,547,0
21,Koraput,144,Lakshmipur,67,,,,,,,,177,157,13,230,14,11,16,21,639,0,18,657,0
21,Koraput,144,Lakshmipur,68,,,,,,,,348,41,21,162,6,9,5,1,593,0,9,602,0
21,Koraput,144,Lakshmipur,69,,,,,,,,233,108,8,171,3,3,4,3,533,0,2,535,0
21,Koraput,144,Lakshmipur,70,,,,,,,,243,162,17,209,13,17,11,12,684,0,28,712,0
21,Koraput,144,Lakshmipur,71,,,,,,,,134,105,16,168,3,11,7,10,454,0,16,470,0
21,Koraput,144,Lakshmipur,72,,,,,,,,290,98,15,411,15,4,19,8,860,0,18,878,0
21,Koraput,144,Lakshmipur,73,,,,,,,,108,131,11,252,10,15,10,21,558,0,11,569,0
21,Koraput,144,Lakshmipur,74,,,,,,,,126,33,7,241,6,7,10,3,433,0,17,450,0
21,Koraput,144,Lakshmipur,75,,,,,,,,254,126,16,285,10,10,13,12,726,0,10,736,0
21,Koraput,144,Lakshmipur,76,,,,,,,,263,157,17,324,18,10,12,20,821,0,13,834,0
21,Koraput,144,Lakshmipur,77,,,,,,,,279,237,6,192,7,6,5,5,737,0,14,751,0
21,Koraput,144,Lakshmipur,78,,,,,,,,327,227,17,392,10,8,8,5,994,0,15,1009,0
21,Koraput,144,Lakshmipur,79,,,,,,,,276,97,14,325,8,12,13,12,757,0,17,774,0
21,Koraput,144,Lakshmipur,80,,,,,,,,302,157,40,401,10,22,30,33,995,0,28,1023,0
21,Koraput,144,Lakshmipur,81,,,,,,,,156,230,23,336,12,8,4,6,775,0,6,781,0
21,Koraput,144,Lakshmipur,82,,,,,,,,82,116,14,248,11,14,1,9,495,0,12,507,0
21,Koraput,144,Lakshmipur,83,,,,,,,,284,32,50,250,16,9,8,19,668,0,29,697,0
21,Koraput,144,Lakshmipur,84,,,,,,,,64,36,4,253,2,5,1,5,370,0,9,379,0
21,Koraput,144,Lakshmipur,85,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Koraput,144,Lakshmipur,86,,,,,,,,146,90,15,272,7,5,2,3,540,0,10,550,0
21,Koraput,144,Lakshmipur,87,,,,,,,,238,78,11,198,12,10,3,3,553,0,4,557,0
21,Koraput,144,Lakshmipur,88,,,,,,,,267,61,16,109,11,18,23,13,518,0,21,539,0
21,Koraput,144,Lakshmipur,89,,,,,,,,268,69,28,212,34,13,12,16,652,0,20,672,0
21,Koraput,144,Lakshmipur,90,,,,,,,,218,78,11,182,5,6,0,5,505,0,2,507,0
21,Koraput,144,Lakshmipur,91,,,,,,,,239,94,14,135,20,11,12,16,541,0,18,559,0
21,Koraput,144,Lakshmipur,92,,,,,,,,194,121,21,97,7,7,7,5,459,0,2,461,0
21,Koraput,144,Lakshmipur,93,,,,,,,,132,80,10,108,5,2,7,6,350,0,9,359,0
21,Koraput,144,Lakshmipur,94,,,,,,,,259,228,20,284,18,16,24,14,863,0,11,874,0
21,Koraput,144,Lakshmipur,95,,,,,,,,215,61,13,312,11,19,14,15,660,0,35,695,0
21,Koraput,144,Lakshmipur,96,,,,,,,,228,207,68,394,13,11,11,10,942,0,12,954,0
21,Koraput,144,Lakshmipur,97,,,,,,,,153,131,29,276,14,4,5,6,618,0,8,626,0
21,Koraput,144,Lakshmipur,98,,,,,,,,282,34,8,307,10,3,4,4,652,0,16,668,0
21,Koraput,144,Lakshmipur,99,,,,,,,,301,226,13,443,14,18,19,20,1054,0,48,1102,0
21,Koraput,144,Lakshmipur,100,,,,,,,,216,42,10,115,6,3,6,0,398,0,1,399,0
21,Koraput,144,Lakshmipur,101,,,,,,,,226,113,53,245,18,25,22,35,737,0,33,770,0
