pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,TOTAL VALID VOTES,No of rejected votes,NOTA,Total,No of Tendered votes
5,Mayurbhanj,31,Rairangpur,104,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,254,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,255,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,256,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,257,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,258,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,259,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,260,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,261,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,262,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,114,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,264,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,265,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,266,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,267,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,268,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,269,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,270,,,,,,,,0,0,0,0,0,0,0,0,0,0
5,Mayurbhanj,31,Rairangpur,271,,,,,,,,0,0,0,0,0,0,0,0,0,0
