pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total No. of valid votes,No. of rejected votes (Test votes),Votes for NOTA option,Total No. of tendered votes.,Total No. of votes.
19,Aska,128,Kabisuryanagar,24,,,,,,,,133,9,256,1,3,0,402,0,3,0,405
19,Aska,128,Kabisuryanagar,25,,,,,,,,252,9,204,1,1,4,471,0,4,0,475
19,Aska,128,Kabisuryanagar,26,,,,,,,,317,24,293,4,5,5,648,0,4,0,652
19,Aska,128,Kabisuryanagar,27,,,,,,,,239,30,276,4,4,3,556,0,6,0,562
19,Aska,128,Kabisuryanagar,28,,,,,,,,168,9,281,4,2,4,468,0,2,0,470
19,Aska,128,Kabisuryanagar,29,,,,,,,,266,54,281,11,9,2,623,0,21,0,644
19,Aska,128,Kabisuryanagar,30,,,,,,,,162,57,247,5,6,3,480,0,7,0,487
19,Aska,128,Kabisuryanagar,31,,,,,,,,160,60,446,8,8,10,692,0,7,0,699
19,Aska,128,Kabisuryanagar,32,,,,,,,,209,108,298,3,6,6,630,0,17,0,647
19,Aska,128,Kabisuryanagar,33,,,,,,,,219,29,432,12,12,11,715,0,24,0,739
19,Aska,128,Kabisuryanagar,34,,,,,,,,208,41,499,12,14,9,783,0,13,0,796
19,Aska,128,Kabisuryanagar,35,,,,,,,,185,61,331,6,5,9,597,0,6,0,603
19,Aska,128,Kabisuryanagar,36,,,,,,,,213,9,224,1,1,0,448,0,9,0,457
19,Aska,128,Kabisuryanagar,37,,,,,,,,104,19,284,10,1,6,424,0,7,0,431
19,Aska,128,Kabisuryanagar,38,,,,,,,,137,13,375,1,2,1,529,0,7,0,536
19,Aska,128,Kabisuryanagar,39,,,,,,,,138,22,321,8,2,5,496,0,8,0,504
19,Aska,128,Kabisuryanagar,40,,,,,,,,175,43,340,7,6,3,574,0,10,0,584
19,Aska,128,Kabisuryanagar,41,,,,,,,,106,44,253,3,0,3,409,0,8,0,417
19,Aska,128,Kabisuryanagar,42,,,,,,,,42,46,291,8,2,3,392,0,1,0,393
19,Aska,128,Kabisuryanagar,43,,,,,,,,103,84,403,7,4,5,606,0,6,0,612
19,Aska,128,Kabisuryanagar,44,,,,,,,,111,81,373,7,7,7,586,0,11,0,597
19,Aska,128,Kabisuryanagar,45,,,,,,,,198,15,335,6,0,0,554,0,2,0,556
19,Aska,128,Kabisuryanagar,46,,,,,,,,278,29,290,5,4,4,610,0,14,0,624
19,Aska,128,Kabisuryanagar,47,,,,,,,,242,61,353,13,9,12,690,0,0,0,690
19,Aska,128,Kabisuryanagar,48,,,,,,,,270,32,282,9,2,6,601,0,15,0,616
19,Aska,128,Kabisuryanagar,49,,,,,,,,402,25,241,4,7,3,682,0,5,0,687
19,Aska,128,Kabisuryanagar,50,,,,,,,,109,11,240,1,0,0,361,0,2,0,363
19,Aska,128,Kabisuryanagar,51,,,,,,,,175,10,158,1,1,0,345,0,4,0,349
19,Aska,128,Kabisuryanagar,52,,,,,,,,235,53,239,8,4,5,544,0,5,0,549
19,Aska,128,Kabisuryanagar,53,,,,,,,,200,34,320,10,3,4,571,0,4,0,575
19,Aska,128,Kabisuryanagar,54,,,,,,,,107,34,279,1,3,4,428,0,3,0,431
19,Aska,128,Kabisuryanagar,55,,,,,,,,175,29,304,1,2,2,513,0,9,0,522
19,Aska,128,Kabisuryanagar,56,,,,,,,,161,16,242,4,6,4,433,0,9,0,442
19,Aska,128,Kabisuryanagar,57,,,,,,,,207,33,292,7,2,5,546,0,16,0,562
