pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of valid Votes,No. of rejected Votes (Test Votes),Votes for NOTA option,Total,No. of Tendered Votes
13,Kandhamal,90,Daspalla,19,,,,,,,,321,273,290,2,1,1,0,1,1,890,0,8,898,0
13,Kandhamal,90,Daspalla,20,,,,,,,,277,188,299,0,1,0,0,1,1,767,0,13,780,0
13,Kandhamal,90,Daspalla,21,,,,,,,,191,331,216,0,1,0,1,1,0,741,0,12,753,0
13,Kandhamal,90,Daspalla,22,,,,,,,,230,285,220,0,4,0,0,3,0,742,0,12,754,0
13,Kandhamal,90,Daspalla,23,,,,,,,,234,316,220,1,1,0,1,2,2,777,0,5,782,0
13,Kandhamal,90,Daspalla,24,,,,,,,,217,255,195,0,7,1,1,0,3,679,0,11,690,0
13,Kandhamal,90,Daspalla,25,,,,,,,,197,206,248,0,0,1,1,0,5,658,0,12,670,0
13,Kandhamal,90,Daspalla,26,,,,,,,,307,342,306,0,3,1,0,1,0,960,0,10,970,0
13,Kandhamal,90,Daspalla,27,,,,,,,,198,248,223,2,4,2,2,2,13,694,0,6,700,0
13,Kandhamal,90,Daspalla,28,,,,,,,,274,232,200,1,6,0,1,0,14,728,0,9,737,0
13,Kandhamal,90,Daspalla,29,,,,,,,,309,189,230,4,1,0,1,0,7,741,0,10,751,0
13,Kandhamal,90,Daspalla,30,,,,,,,,240,247,150,0,2,2,6,1,6,654,0,5,659,0
13,Kandhamal,90,Daspalla,31,,,,,,,,140,164,169,0,0,1,2,1,2,479,0,2,481,0
13,Kandhamal,90,Daspalla,32,,,,,,,,163,102,68,0,0,0,0,0,0,333,0,1,334,0
13,Kandhamal,90,Daspalla,33,,,,,,,,244,270,135,1,1,0,0,0,0,651,0,7,658,0
13,Kandhamal,90,Daspalla,34,,,,,,,,149,91,109,0,1,1,1,0,1,353,0,3,356,0
13,Kandhamal,90,Daspalla,35,,,,,,,,230,305,141,2,1,0,0,3,1,683,0,5,688,0
13,Kandhamal,90,Daspalla,36,,,,,,,,253,206,132,0,0,0,0,1,2,594,0,7,601,0
13,Kandhamal,90,Daspalla,37,,,,,,,,246,223,126,4,5,1,1,5,3,614,0,3,617,0
13,Kandhamal,90,Daspalla,38,,,,,,,,382,159,153,1,0,2,5,2,5,709,0,4,713,0
13,Kandhamal,90,Daspalla,39,,,,,,,,260,215,163,0,1,1,1,0,2,643,0,11,654,0
13,Kandhamal,90,Daspalla,40,,,,,,,,234,183,204,0,0,0,4,1,0,626,0,4,630,0
13,Kandhamal,90,Daspalla,41,,,,,,,,226,234,209,0,1,0,1,0,0,671,0,7,678,0
13,Kandhamal,90,Daspalla,42,,,,,,,,285,245,188,0,4,0,2,3,3,730,0,5,735,0
13,Kandhamal,90,Daspalla,43,,,,,,,,293,451,153,1,1,1,2,5,2,909,0,8,917,0
13,Kandhamal,90,Daspalla,44,,,,,,,,288,239,267,0,1,2,0,0,5,802,0,12,814,0
13,Kandhamal,90,Daspalla,45,,,,,,,,178,169,187,4,4,1,2,0,2,547,0,8,555,0
13,Kandhamal,90,Daspalla,46,,,,,,,,254,312,289,3,1,0,1,2,3,865,0,3,868,0
13,Kandhamal,90,Daspalla,47,,,,,,,,264,242,154,0,1,2,1,1,34,699,0,11,710,0
13,Kandhamal,90,Daspalla,48,,,,,,,,392,281,229,1,0,0,0,1,28,932,0,8,940,0
13,Kandhamal,90,Daspalla,49,,,,,,,,403,229,206,0,0,1,3,1,7,850,0,8,858,0
