pc_id,pc_name,ac_id,ac_name,Sl. No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Total of valid votes,No. of Rejected votes,NOTA,Total,No. of tendered votes
16,Jagatsinghpur,108,Tirtol,216,,,,,,,,5,23,513,340,881,0,12.0,893,0
16,Jagatsinghpur,108,Tirtol,217,,,,,,,,5,16,410,198,629,0,1.0,630,0
16,Jagatsinghpur,108,Tirtol,218,,,,,,,,12,7,508,342,869,0,2.0,871,0
16,Jagatsinghpur,108,Tirtol,219,,,,,,,,8,9,373,318,708,0,3.0,711,0
16,Jagatsinghpur,108,Tirtol,220,,,,,,,,12,4,353,312,681,0,7.0,688,0
16,Jagatsinghpur,108,Tirtol,221,,,,,,,,4,6,322,331,663,0,5.0,668,0
16,Jagatsinghpur,108,Tirtol,222,,,,,,,,4,2,308,319,633,0,2.0,635,0
16,Jagatsinghpur,108,Tirtol,223,,,,,,,,3,2,406,330,741,0,0.0,741,0
16,Jagatsinghpur,108,Tirtol,224,,,,,,,,8,10,299,265,582,0,6.0,588,0
16,Jagatsinghpur,108,Tirtol,225,,,,,,,,4,3,416,256,679,0,7.0,686,0
16,Jagatsinghpur,108,Tirtol,226,,,,,,,,4,2,401,258,665,0,1.0,666,0
16,Jagatsinghpur,108,Tirtol,227,,,,,,,,2,2,332,302,638,0,2.0,640,0
16,Jagatsinghpur,108,Tirtol,228,,,,,,,,19,4,426,303,752,0,2.0,754,0
16,Jagatsinghpur,108,Tirtol,229,,,,,,,,1,1,173,160,335,0,1.0,336,0
16,Jagatsinghpur,108,Tirtol,230,,,,,,,,12,0,418,532,962,0,2.0,964,0
16,Jagatsinghpur,108,Tirtol,231,,,,,,,,4,1,314,363,682,0,1.0,683,0
16,Jagatsinghpur,108,Tirtol,232,,,,,,,,13,1,258,303,575,0,0.0,575,0
16,Jagatsinghpur,108,Tirtol,233,,,,,,,,13,4,426,377,820,0,0.0,820,0
16,Jagatsinghpur,108,Tirtol,234,,,,,,,,11,1,317,397,726,0,3.0,729,0
16,Jagatsinghpur,108,Tirtol,235,,,,,,,,2,0,320,362,684,0,1.0,685,0
16,Jagatsinghpur,108,Tirtol,236,,,,,,,,1,1,410,405,817,0,0.0,817,0
16,Jagatsinghpur,108,Tirtol,237,,,,,,,,18,7,390,338,753,0,2.0,755,0
16,Jagatsinghpur,108,Tirtol,238,,,,,,,,28,7,267,319,621,0,4.0,625,0
16,Jagatsinghpur,108,Tirtol,239,,,,,,,,43,2,350,468,863,0,4.0,867,0
16,Jagatsinghpur,108,Tirtol,240,,,,,,,,3,0,155,114,272,0,2.0,274,0
16,Jagatsinghpur,108,Tirtol,241,,,,,,,,11,2,178,239,430,0,3.0,433,0
16,Jagatsinghpur,108,Tirtol,242,,,,,,,,20,4,459,476,959,0,1.0,960,0
16,Jagatsinghpur,108,Tirtol,243,,,,,,,,7,2,378,298,685,0,8.0,693,0
16,Jagatsinghpur,108,Tirtol,244,,,,,,,,4,1,240,298,543,0,6.0,549,0
16,Jagatsinghpur,108,Tirtol,245,,,,,,,,1,0,88,296,385,0,1.0,386,0
16,Jagatsinghpur,108,Tirtol,246,,,,,,,,3,2,243,318,566,0,4.0,570,0
16,Jagatsinghpur,108,Tirtol,247,,,,,,,,7,4,197,270,478,0,1.0,479,0
16,Jagatsinghpur,108,Tirtol,248,,,,,,,,5,2,497,267,771,0,2.0,773,0
16,Jagatsinghpur,108,Tirtol,249,,,,,,,,6,3,514,309,832,0,2.0,834,0
16,Jagatsinghpur,108,Tirtol,250,,,,,,,,7,3,332,433,775,0,3.0,778,0
16,Jagatsinghpur,108,Tirtol,251,,,,,,,,8,3,300,414,725,0,7.0,732,0
16,Jagatsinghpur,108,Tirtol,252,,,,,,,,19,1,333,297,650,0,3.0,653,0
16,Jagatsinghpur,108,Tirtol,253,,,,,,,,75,1,176,228,480,0,2.0,482,0
16,Jagatsinghpur,108,Tirtol,254,,,,,,,,20,6,562,274,862,0,5.0,867,0
16,Jagatsinghpur,108,Tirtol,255,,,,,,,,22,8,473,521,1024,0,7.0,1031,0
16,Jagatsinghpur,108,Tirtol,256,,,,,,,,42,2,383,261,688,0,5.0,693,0
16,Jagatsinghpur,108,Tirtol,257,,,,,,,,6,1,119,158,284,0,0.0,284,0
16,Jagatsinghpur,108,Tirtol,258,,,,,,,,25,12,454,351,842,0,3.0,845,0
16,Jagatsinghpur,108,Tirtol,259,,,,,,,,8,0,299,184,491,0,1.0,492,0
16,Jagatsinghpur,108,Tirtol,260,,,,,,,,18,4,399,400,821,0,6.0,827,0
16,Jagatsinghpur,108,Tirtol,261,,,,,,,,3,7,447,214,671,0,0.0,671,0
16,Jagatsinghpur,108,Tirtol,262,,,,,,,,7,6,348,508,869,0,11.0,880,0
16,Jagatsinghpur,108,Tirtol,263,,,,,,,,16,1,473,470,960,0,5.0,965,0
16,Jagatsinghpur,108,Tirtol,264,,,,,,,,5,2,307,361,675,0,9.0,684,0
16,Jagatsinghpur,108,Tirtol,265,,,,,,,,12,5,236,375,628,0,9.0,637,0
16,Jagatsinghpur,108,Tirtol,266,,,,,,,,6,3,375,415,799,0,3.0,802,0
16,Jagatsinghpur,108,Tirtol,267,,,,,,,,1,2,309,406,718,0,7.0,725,0
16,Jagatsinghpur,108,Tirtol,268,,,,,,,,42,4,438,387,871,0,5.0,876,0
16,Jagatsinghpur,108,Tirtol,269,,,,,,,,26,11,483,598,1118,0,17.0,1135,0
16,Jagatsinghpur,108,Tirtol,270,,,,,,,,9,5,288,392,694,0,7.0,701,0
16,Jagatsinghpur,108,Tirtol,271,,,,,,,,10,2,245,318,575,0,2.0,577,0
