pc_id,pc_name,ac_id,ac_name,Serial No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of valid Votes,No. of rejected Votes ( Test votes),Votes for NOTA option,Total,No. of tendered votes
12,Nabarangpur,81,Dabugam,171,,,,,,,,128.0,111.0,4.0,288.0,4.0,5.0,1.0,3.0,63.0,19.0,626,0,6.0,632,0
12,Nabarangpur,81,Dabugam,172,,,,,,,,116.0,95.0,4.0,244.0,10.0,1.0,3.0,2.0,6.0,4.0,485,0,6.0,491,0
12,Nabarangpur,81,Dabugam,173,,,,,,,,154.0,99.0,5.0,224.0,0.0,1.0,0.0,1.0,68.0,13.0,565,0,2.0,567,0
12,Nabarangpur,81,Dabugam,174,,,,,,,,173.0,67.0,11.0,226.0,7.0,2.0,2.0,4.0,83.0,12.0,587,0,0.0,587,0
12,Nabarangpur,81,Dabugam,175,,,,,,,,65.0,128.0,6.0,163.0,5.0,1.0,1.0,0.0,5.0,2.0,376,0,0.0,376,0
12,Nabarangpur,81,Dabugam,176,,,,,,,,163.0,160.0,3.0,393.0,3.0,0.0,0.0,1.0,9.0,18.0,750,0,0.0,750,0
12,Nabarangpur,81,Dabugam,177,,,,,,,,135.0,111.0,5.0,179.0,1.0,1.0,0.0,2.0,39.0,22.0,495,0,2.0,497,0
12,Nabarangpur,81,Dabugam,178,,,,,,,,195.0,263.0,4.0,285.0,13.0,2.0,3.0,21.0,22.0,10.0,818,0,3.0,821,0
12,Nabarangpur,81,Dabugam,179,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,nan,0,0
12,Nabarangpur,81,Dabugam,180,,,,,,,,129.0,81.0,4.0,168.0,2.0,1.0,0.0,3.0,107.0,11.0,506,0,4.0,510,0
12,Nabarangpur,81,Dabugam,181,,,,,,,,167.0,45.0,3.0,170.0,4.0,0.0,1.0,2.0,8.0,5.0,405,0,2.0,407,0
12,Nabarangpur,81,Dabugam,182,,,,,,,,60.0,37.0,3.0,216.0,2.0,1.0,2.0,2.0,32.0,2.0,357,0,1.0,358,0
12,Nabarangpur,81,Dabugam,183,,,,,,,,69.0,101.0,4.0,302.0,5.0,3.0,5.0,2.0,165.0,4.0,660,0,2.0,662,0
12,Nabarangpur,81,Dabugam,184,,,,,,,,128.0,135.0,3.0,261.0,7.0,0.0,2.0,0.0,47.0,1.0,584,0,1.0,585,0
12,Nabarangpur,81,Dabugam,185,,,,,,,,226.0,138.0,6.0,175.0,7.0,2.0,6.0,33.0,248.0,11.0,852,0,6.0,858,0
12,Nabarangpur,81,Dabugam,186,,,,,,,,171.0,61.0,4.0,287.0,7.0,4.0,2.0,12.0,351.0,8.0,907,0,4.0,911,0
12,Nabarangpur,81,Dabugam,187,,,,,,,,115.0,139.0,5.0,135.0,5.0,2.0,1.0,7.0,140.0,10.0,559,0,1.0,560,0
12,Nabarangpur,81,Dabugam,188,,,,,,,,197.0,72.0,4.0,202.0,2.0,2.0,3.0,33.0,21.0,51.0,587,0,5.0,592,0
12,Nabarangpur,81,Dabugam,189,,,,,,,,73.0,102.0,4.0,266.0,2.0,3.0,2.0,8.0,29.0,38.0,527,0,1.0,528,0
12,Nabarangpur,81,Dabugam,190,,,,,,,,81.0,73.0,4.0,139.0,7.0,3.0,3.0,13.0,83.0,51.0,457,0,7.0,464,0
12,Nabarangpur,81,Dabugam,191,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0
12,Nabarangpur,81,Dabugam,192,,,,,,,,67.0,66.0,9.0,136.0,7.0,0.0,1.0,14.0,3.0,1.0,304,0,1.0,305,0
12,Nabarangpur,81,Dabugam,193,,,,,,,,182.0,69.0,2.0,451.0,1.0,0.0,0.0,0.0,32.0,26.0,763,0,2.0,765,0
12,Nabarangpur,81,Dabugam,194,,,,,,,,114.0,151.0,7.0,209.0,8.0,4.0,2.0,3.0,62.0,18.0,578,0,5.0,583,0
12,Nabarangpur,81,Dabugam,195,,,,,,,,186.0,49.0,3.0,311.0,11.0,3.0,4.0,1.0,65.0,5.0,638,0,3.0,641,0
12,Nabarangpur,81,Dabugam,196,,,,,,,,284.0,49.0,7.0,262.0,2.0,2.0,2.0,23.0,19.0,2.0,652,0,4.0,656,0
12,Nabarangpur,81,Dabugam,197,,,,,,,,193.0,134.0,3.0,180.0,3.0,1.0,0.0,10.0,0.0,9.0,533,0,1.0,534,0
12,Nabarangpur,81,Dabugam,198,,,,,,,,267.0,156.0,10.0,351.0,12.0,3.0,4.0,207.0,6.0,15.0,1031,0,14.0,1045,0
12,Nabarangpur,81,Dabugam,199,,,,,,,,155.0,195.0,29.0,161.0,15.0,8.0,4.0,167.0,2.0,9.0,745,0,5.0,750,0
12,Nabarangpur,81,Dabugam,200,,,,,,,,143.0,74.0,6.0,67.0,3.0,1.0,5.0,68.0,3.0,7.0,377,0,1.0,378,0
12,Nabarangpur,81,Dabugam,201,,,,,,,,217.0,125.0,6.0,264.0,10.0,3.0,6.0,37.0,14.0,14.0,696,0,2.0,698,0
12,Nabarangpur,81,Dabugam,202,,,,,,,,168.0,124.0,4.0,146.0,8.0,6.0,4.0,210.0,15.0,19.0,704,0,10.0,714,0
12,Nabarangpur,81,Dabugam,203,,,,,,,,132.0,188.0,7.0,145.0,49.0,3.0,6.0,127.0,8.0,11.0,676,0,9.0,685,0
12,Nabarangpur,81,Dabugam,204,,,,,,,,118.0,90.0,9.0,289.0,1.0,3.0,0.0,4.0,2.0,4.0,520,0,1.0,521,0
12,Nabarangpur,81,Dabugam,205,,,,,,,,71.0,148.0,7.0,72.0,4.0,3.0,2.0,5.0,20.0,8.0,340,0,2.0,342,0
12,Nabarangpur,81,Dabugam,206,,,,,,,,152.0,139.0,12.0,307.0,6.0,4.0,2.0,110.0,12.0,10.0,754,0,2.0,756,0
12,Nabarangpur,81,Dabugam,207,,,,,,,,95.0,32.0,1.0,124.0,1.0,2.0,2.0,0.0,1.0,2.0,260,0,5.0,265,0
12,Nabarangpur,81,Dabugam,208,,,,,,,,136.0,101.0,3.0,217.0,4.0,4.0,0.0,12.0,60.0,7.0,544,0,3.0,547,0
12,Nabarangpur,81,Dabugam,209,,,,,,,,59.0,84.0,5.0,110.0,5.0,2.0,1.0,0.0,42.0,6.0,314,0,2.0,316,0
12,Nabarangpur,81,Dabugam,210,,,,,,,,339.0,165.0,5.0,249.0,9.0,9.0,1.0,15.0,31.0,76.0,899,0,7.0,906,0
12,Nabarangpur,81,Dabugam,211,,,,,,,,350.0,68.0,3.0,164.0,5.0,3.0,6.0,27.0,37.0,107.0,770,0,2.0,772,0
12,Nabarangpur,81,Dabugam,212,,,,,,,,198.0,188.0,5.0,94.0,5.0,6.0,3.0,7.0,80.0,40.0,626,0,8.0,634,0
12,Nabarangpur,81,Dabugam,213,,,,,,,,264.0,105.0,8.0,236.0,9.0,9.0,3.0,4.0,45.0,19.0,702,0,9.0,711,0
12,Nabarangpur,81,Dabugam,214,,,,,,,,408.0,97.0,8.0,215.0,6.0,30.0,2.0,4.0,9.0,17.0,796,0,4.0,800,0
12,Nabarangpur,81,Dabugam,215,,,,,,,,204.0,95.0,8.0,262.0,7.0,11.0,2.0,3.0,24.0,4.0,620,0,2.0,622,0
12,Nabarangpur,81,Dabugam,216,,,,,,,,87.0,66.0,4.0,342.0,8.0,0.0,2.0,8.0,41.0,8.0,566,0,2.0,568,0
12,Nabarangpur,81,Dabugam,217,,,,,,,,122.0,122.0,14.0,200.0,8.0,4.0,3.0,3.0,114.0,12.0,602,0,6.0,608,0
12,Nabarangpur,81,Dabugam,218,,,,,,,,225.0,207.0,7.0,239.0,19.0,6.0,6.0,8.0,240.0,10.0,967,0,2.0,969,0
12,Nabarangpur,81,Dabugam,219,,,,,,,,161.0,97.0,9.0,208.0,4.0,3.0,4.0,8.0,165.0,20.0,679,0,3.0,682,0
12,Nabarangpur,81,Dabugam,220,,,,,,,,170.0,111.0,8.0,204.0,3.0,4.0,4.0,70.0,9.0,6.0,589,0,8.0,597,0
12,Nabarangpur,81,Dabugam,221,,,,,,,,130.0,132.0,10.0,194.0,4.0,9.0,12.0,43.0,19.0,3.0,556,0,12.0,568,0
12,Nabarangpur,81,Dabugam,222,,,,,,,,223.0,181.0,14.0,258.0,7.0,6.0,4.0,118.0,23.0,9.0,843,0,6.0,849,0
12,Nabarangpur,81,Dabugam,223,,,,,,,,145.0,170.0,2.0,79.0,10.0,4.0,1.0,2.0,164.0,10.0,587,0,2.0,589,0
12,Nabarangpur,81,Dabugam,224,,,,,,,,231.0,81.0,2.0,171.0,5.0,2.0,3.0,4.0,2.0,7.0,508,0,3.0,511,0
12,Nabarangpur,81,Dabugam,225,,,,,,,,136.0,237.0,11.0,163.0,9.0,3.0,2.0,4.0,3.0,13.0,581,0,3.0,584,0
12,Nabarangpur,81,Dabugam,226,,,,,,,,143.0,263.0,5.0,178.0,5.0,1.0,2.0,2.0,5.0,3.0,607,0,4.0,611,0
