pc_id,pc_name,ac_id,ac_name,Sl. No. Of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA Option,Total,Total No. of Tender Votes
15,Kendrapara ,104,Rajanagar,90,,,,,,,,286,2,244,48,1,0,0,581,0,1,582,0
15,Kendrapara ,104,Rajanagar,91,,,,,,,,187,5,199,106,0,0,1,498,0,0,498,0
15,Kendrapara ,104,Rajanagar,92,,,,,,,,217,2,199,66,1,0,0,485,0,2,487,0
15,Kendrapara ,104,Rajanagar,93,,,,,,,,314,3,289,112,0,1,1,720,0,2,722,0
15,Kendrapara ,104,Rajanagar,94,,,,,,,,453,3,323,107,0,1,0,887,0,1,888,0
15,Kendrapara ,104,Rajanagar,95,,,,,,,,404,3,140,111,0,0,1,659,0,3,662,0
15,Kendrapara ,104,Rajanagar,96,,,,,,,,327,6,302,163,2,0,2,802,0,4,806,0
15,Kendrapara ,104,Rajanagar,97,,,,,,,,355,1,214,188,0,2,2,762,0,6,768,0
15,Kendrapara ,104,Rajanagar,98,,,,,,,,297,3,334,218,0,0,2,854,0,8,862,0
15,Kendrapara ,104,Rajanagar,99,,,,,,,,329,1,225,131,1,1,0,688,0,8,696,0
15,Kendrapara ,104,Rajanagar,100,,,,,,,,347,1,211,222,0,0,1,782,0,1,783,0
15,Kendrapara ,104,Rajanagar,101,,,,,,,,391,2,363,178,2,0,1,937,0,4,941,0
15,Kendrapara ,104,Rajanagar,102,,,,,,,,207,7,172,322,0,3,5,716,0,3,719,0
15,Kendrapara ,104,Rajanagar,103,,,,,,,,229,3,231,343,3,0,2,811,0,2,813,0
15,Kendrapara ,104,Rajanagar,104,,,,,,,,293,7,289,342,6,5,6,948,0,18,966,0
15,Kendrapara ,104,Rajanagar,105,,,,,,,,209,3,144,227,1,0,2,586,0,1,587,0
15,Kendrapara ,104,Rajanagar,106,,,,,,,,159,4,240,247,1,2,4,657,0,1,658,0
15,Kendrapara ,104,Rajanagar,107,,,,,,,,202,7,398,215,4,3,1,830,0,3,833,0
