pc_id,pc_name,ac_id,ac_name,Serial No. Of Polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total of vaild votes(Test votes),Total of rejected votes (test Votes),Votes for NOTA option,Total No of Votes,Total No of tendered votes
19,Aska,129,Khalikote,191,,,,,,,,170.0,440.0,21.0,3.0,2.0,636,0,2.0,638,0
19,Aska,129,Khalikote,192,,,,,,,,149.0,487.0,19.0,4.0,2.0,661,0,2.0,663,0
19,Aska,129,Khalikote,193,,,,,,,,212.0,358.0,91.0,11.0,6.0,678,0,40.0,718,0
19,Aska,129,Khalikote,194,,,,,,,,131.0,94.0,15.0,3.0,5.0,248,0,6.0,254,0
19,Aska,129,Khalikote,195,,,,,,,,256.0,559.0,64.0,10.0,11.0,900,0,10.0,910,0
19,Aska,129,Khalikote,196,,,,,,,,73.0,318.0,111.0,2.0,15.0,519,0,1.0,520,0
19,Aska,129,Khalikote,197,,,,,,,,60.0,97.0,218.0,5.0,8.0,388,0,9.0,397,0
19,Aska,129,Khalikote,198,,,,,,,,30.0,206.0,22.0,1.0,2.0,261,0,1.0,262,0
19,Aska,129,Khalikote,199,,,,,,,,114.0,445.0,7.0,7.0,7.0,580,0,6.0,586,0
19,Aska,129,Khalikote,200,,,,,,,,65.0,174.0,23.0,6.0,3.0,271,0,5.0,276,0
19,Aska,129,Khalikote,201,,,,,,,,245.0,600.0,36.0,4.0,6.0,891,0,22.0,913,0
19,Aska,129,Khalikote,202,,,,,,,,312.0,533.0,26.0,17.0,4.0,892,0,9.0,901,0
19,Aska,129,Khalikote,203,,,,,,,,311.0,445.0,23.0,13.0,9.0,801,0,28.0,829,0
19,Aska,129,Khalikote,204,,,,,,,,101.0,220.0,11.0,7.0,1.0,340,0,12.0,352,0
19,Aska,129,Khalikote,205,,,,,,,,230.0,524.0,16.0,7.0,1.0,778,0,3.0,781,0
19,Aska,129,Khalikote,206,,,,,,,,149.0,508.0,26.0,5.0,2.0,690,0,3.0,693,0
19,Aska,129,Khalikote,207,,,,,,,,110.0,448.0,13.0,4.0,3.0,578,0,2.0,580,0
19,Aska,129,Khalikote,208,,,,,,,,121.0,236.0,40.0,5.0,5.0,407,0,11.0,418,0
19,Aska,129,Khalikote,209,,,,,,,,279.0,306.0,43.0,4.0,4.0,636,0,12.0,648,0
19,Aska,129,Khalikote,210,,,,,,,,145.0,79.0,32.0,9.0,7.0,272,0,11.0,283,0
19,Aska,129,Khalikote,211,,,,,,,,56.0,436.0,3.0,2.0,0.0,497,0,0.0,497,0
19,Aska,129,Khalikote,212,,,,,,,,385.0,364.0,61.0,9.0,17.0,836,0,23.0,859,0
19,Aska,129,Khalikote,213,,,,,,,,322.0,298.0,17.0,4.0,12.0,653,0,11.0,664,0
19,Aska,129,Khalikote,214,,,,,,,,223.0,141.0,12.0,2.0,0.0,378,0,3.0,381,0
19,Aska,129,Khalikote,215,,,,,,,,157.0,465.0,27.0,10.0,3.0,662,0,11.0,673,0
19,Aska,129,Khalikote,216,,,,,,,,81.0,262.0,15.0,6.0,3.0,367,0,4.0,371,0
19,Aska,129,Khalikote,217,,,,,,,,228.0,269.0,19.0,6.0,13.0,535,0,4.0,539,0
19,Aska,129,Khalikote,218,,,,,,,,247.0,225.0,18.0,6.0,5.0,501,0,5.0,506,0
19,Aska,129,Khalikote,219,,,,,,,,434.0,404.0,70.0,19.0,17.0,944,0,16.0,960,0
19,Aska,129,Khalikote,220,,,,,,,,101.0,253.0,18.0,4.0,3.0,379,0,0.0,379,0
19,Aska,129,Khalikote,221,,,,,,,,204.0,233.0,26.0,7.0,2.0,472,0,2.0,474,0
19,Aska,129,Khalikote,222,,,,,,,,147.0,118.0,9.0,2.0,0.0,276,0,0.0,276,0
19,Aska,129,Khalikote,223,,,,,,,,375.0,367.0,37.0,11.0,13.0,803,0,46.0,849,0
19,Aska,129,Khalikote,224,,,,,,,,190.0,359.0,12.0,9.0,4.0,574,0,9.0,583,0
19,Aska,129,Khalikote,225,,,,,,,,61.0,226.0,170.0,54.0,10.0,521,0,16.0,537,0
