pc_id,pc_name,ac_id,ac_name,PS No,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of Valid Votes,No. of rejected votes( Test votes),None of the Above (NOTA),Total,No. of Tendered votes
7,Bhadrak,43,Soro,188,,,,,,,,411,254,98,6,0,0,0,0,0,0,769,0,0,769,0
7,Bhadrak,43,Soro,189,,,,,,,,242,306,117,5,0,0,0,0,0,0,670,0,1,671,0
7,Bhadrak,43,Soro,190,,,,,,,,271,288,135,3,1,1,1,0,0,0,700,0,3,703,0
7,Bhadrak,43,Soro,191,,,,,,,,214,106,171,0,2,0,0,0,0,1,494,0,1,495,0
7,Bhadrak,43,Soro,192,,,,,,,,225,341,327,1,1,0,1,0,0,1,897,0,4,901,0
7,Bhadrak,43,Soro,193,,,,,,,,108,85,178,0,0,0,0,0,0,1,372,0,0,372,0
7,Bhadrak,43,Soro,194,,,,,,,,199,180,91,2,2,0,1,0,1,1,477,0,1,478,0
7,Bhadrak,43,Soro,195,,,,,,,,130,167,121,2,0,0,0,0,0,0,420,0,1,421,0
7,Bhadrak,43,Soro,196,,,,,,,,264,251,267,3,4,0,2,2,1,2,796,0,4,800,0
7,Bhadrak,43,Soro,197,,,,,,,,178,238,288,0,0,0,0,0,0,0,704,0,0,704,0
7,Bhadrak,43,Soro,198,,,,,,,,347,268,154,1,0,0,0,1,1,3,775,0,5,780,0
7,Bhadrak,43,Soro,199,,,,,,,,255,289,204,0,0,0,0,0,0,3,751,0,2,753,0
7,Bhadrak,43,Soro,200,,,,,,,,175,242,170,4,2,10,0,0,1,1,605,0,2,607,0
7,Bhadrak,43,Soro,201,,,,,,,,329,394,45,2,0,2,1,1,1,1,776,0,0,776,0
7,Bhadrak,43,Soro,202,,,,,,,,319,339,74,4,1,5,1,0,0,0,743,0,2,745,0
7,Bhadrak,43,Soro,203,,,,,,,,113,186,64,1,0,2,0,0,0,2,368,0,2,370,0
7,Bhadrak,43,Soro,204,,,,,,,,385,286,191,0,0,2,2,1,0,2,869,0,2,871,0
7,Bhadrak,43,Soro,205,,,,,,,,194,194,259,3,0,3,1,0,0,1,655,0,2,657,0
7,Bhadrak,43,Soro,206,,,,,,,,281,334,92,0,1,0,1,0,1,0,710,0,0,710,0
7,Bhadrak,43,Soro,207,,,,,,,,255,314,149,1,0,1,0,0,4,2,726,0,4,730,0
7,Bhadrak,43,Soro,208,,,,,,,,367,451,174,6,2,0,1,0,1,8,1010,0,0,1010,0
7,Bhadrak,43,Soro,209,,,,,,,,310,334,190,1,1,4,2,0,0,2,844,0,4,848,0
7,Bhadrak,43,Soro,210,,,,,,,,399,484,112,0,2,2,0,0,0,1,1000,0,2,1002,0
7,Bhadrak,43,Soro,211,,,,,,,,120,173,51,0,0,1,0,0,0,0,345,0,1,346,0
7,Bhadrak,43,Soro,212,,,,,,,,215,302,36,1,2,0,0,0,0,0,556,0,0,556,0
7,Bhadrak,43,Soro,213,,,,,,,,288,262,32,0,0,3,0,0,0,0,585,0,2,587,0
7,Bhadrak,43,Soro,214,,,,,,,,236,209,130,1,1,0,1,0,1,0,579,0,1,580,0
7,Bhadrak,43,Soro,215,,,,,,,,211,405,227,0,1,10,1,1,1,3,860,0,1,861,0
7,Bhadrak,43,Soro,216,,,,,,,,485,494,130,4,0,2,0,0,0,0,1115,0,2,1117,0
7,Bhadrak,43,Soro,217,,,,,,,,152,429,174,0,0,12,0,0,2,0,769,0,6,775,0
7,Bhadrak,43,Soro,218,,,,,,,,279,238,190,0,0,18,0,1,0,0,726,0,1,727,0
7,Bhadrak,43,Soro,219,,,,,,,,208,135,94,0,1,0,1,0,0,0,439,0,2,441,0
7,Bhadrak,43,Soro,220,,,,,,,,180,582,182,6,0,7,1,1,2,2,963,0,3,966,0
7,Bhadrak,43,Soro,221,,,,,,,,381,243,122,2,1,0,3,1,0,2,755,0,3,758,0
7,Bhadrak,43,Soro,222,,,,,,,,418,228,127,1,2,2,1,0,2,0,781,0,5,786,0
7,Bhadrak,43,Soro,223,,,,,,,,259,325,493,9,4,32,1,1,3,3,1130,0,3,1133,0
7,Bhadrak,43,Soro,224,,,,,,,,335,464,113,3,1,1,1,2,1,2,923,0,4,927,0
7,Bhadrak,43,Soro,225,,,,,,,,112,139,101,0,0,0,0,0,0,0,352,0,1,353,0
7,Bhadrak,43,Soro,226,,,,,,,,330,250,126,1,1,1,1,1,2,0,713,0,2,715,0
7,Bhadrak,43,Soro,227,,,,,,,,152,215,64,1,0,0,4,2,3,2,443,0,7,450,0
7,Bhadrak,43,Soro,228,,,,,,,,182,314,128,0,0,0,0,0,0,0,624,0,0,624,0
7,Bhadrak,43,Soro,229,,,,,,,,86,289,355,3,3,8,0,0,3,0,747,0,1,748,0
7,Bhadrak,43,Soro,230,,,,,,,,128,171,87,0,1,1,0,0,0,0,388,0,1,389,0
7,Bhadrak,43,Soro,231,,,,,,,,233,393,255,1,2,0,1,1,0,1,887,0,6,893,0
7,Bhadrak,43,Soro,232,,,,,,,,95,379,345,2,0,2,0,0,0,2,825,0,2,827,0
7,Bhadrak,43,Soro,233,,,,,,,,20,295,366,2,0,0,2,0,0,0,685,0,0,685,0
7,Bhadrak,43,Soro,234,,,,,,,,56,251,313,3,5,1,0,1,3,1,634,0,0,634,0
7,Bhadrak,43,Soro,235,,,,,,,,77,200,270,2,0,3,1,1,1,0,555,0,1,556,0
7,Bhadrak,43,Soro,236,,,,,,,,253,333,221,3,2,2,1,1,3,2,821,0,4,825,0
7,Bhadrak,43,Soro,237,,,,,,,,310,315,315,5,2,2,4,1,0,0,954,0,5,959,0
7,Bhadrak,43,Soro,238,,,,,,,,154,268,103,1,0,3,1,1,1,0,532,0,4,536,0
7,Bhadrak,43,Soro,239,,,,,,,,114,191,91,0,2,0,0,2,1,1,402,0,0,402,0
7,Bhadrak,43,Soro,240,,,,,,,,104,58,95,0,0,0,0,1,0,0,258,0,0,258,0
7,Bhadrak,43,Soro,241,,,,,,,,89,259,223,1,0,1,2,1,0,0,576,0,0,576,0
7,Bhadrak,43,Soro,242,,,,,,,,171,321,266,5,0,1,1,2,5,2,774,0,2,776,0
7,Bhadrak,43,Soro,243,,,,,,,,283,302,221,6,1,0,0,0,2,0,815,0,1,816,0
7,Bhadrak,43,Soro,244,,,,,,,,342,252,92,1,1,2,0,0,1,0,691,0,1,692,0
7,Bhadrak,43,Soro,245,,,,,,,,69,273,188,2,0,0,0,0,0,0,532,0,1,533,0
7,Bhadrak,43,Soro,246,,,,,,,,191,404,255,3,0,4,0,1,0,3,861,0,2,863,0
7,Bhadrak,43,Soro,247,,,,,,,,253,401,133,5,0,0,0,0,0,0,792,0,4,796,0
7,Bhadrak,43,Soro,248,,,,,,,,120,528,310,4,4,0,0,0,0,0,966,0,2,968,0
