pc_id,pc_name,ac_id,ac_name,Polling Booth No,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total Valid votes,No. Of Rejected votes (Test votes),Nota,Cumulative Total
7,Bhadrak,42,Chandabali,245,,,,,,,,15,471,338,2,0,826,nan,3,829
7,Bhadrak,42,Chandabali,246,,,,,,,,17,403,292,0,0,712,nan,4,716
7,Bhadrak,42,Chandabali,247,,,,,,,,10,275,229,2,1,517,nan,2,519
7,Bhadrak,42,Chandabali,248,,,,,,,,12,273,159,1,2,447,nan,0,447
7,Bhadrak,42,Chandabali,249,,,,,,,,20,420,367,1,3,811,nan,3,814
7,Bhadrak,42,Chandabali,250,,,,,,,,91,168,133,0,0,392,nan,0,392
7,Bhadrak,42,Chandabali,251,,,,,,,,11,305,280,1,1,598,nan,4,602
7,Bhadrak,42,Chandabali,252,,,,,,,,8,108,167,1,0,284,nan,0,284
7,Bhadrak,42,Chandabali,253,,,,,,,,43,264,244,2,2,555,nan,5,560
7,Bhadrak,42,Chandabali,254,,,,,,,,302,325,154,0,0,781,nan,0,781
7,Bhadrak,42,Chandabali,255,,,,,,,,92,377,296,4,1,770,nan,7,777
7,Bhadrak,42,Chandabali,256,,,,,,,,72,127,166,0,0,365,nan,0,365
7,Bhadrak,42,Chandabali,257,,,,,,,,65,333,390,3,3,794,nan,1,795
7,Bhadrak,42,Chandabali,258,,,,,,,,60,387,370,2,1,820,nan,1,821
7,Bhadrak,42,Chandabali,259,,,,,,,,5,135,210,0,0,350,nan,1,351
7,Bhadrak,42,Chandabali,260,,,,,,,,18,331,229,0,2,580,nan,0,580
7,Bhadrak,42,Chandabali,261,,,,,,,,12,286,381,1,0,680,nan,1,681
7,Bhadrak,42,Chandabali,262,,,,,,,,9,202,263,4,0,478,nan,0,478
7,Bhadrak,42,Chandabali,263,,,,,,,,16,431,294,2,0,743,nan,4,747
7,Bhadrak,42,Chandabali,264,,,,,,,,21,368,561,2,0,952,nan,6,958
7,Bhadrak,42,Chandabali,265,,,,,,,,74,173,113,0,0,360,nan,3,363
7,Bhadrak,42,Chandabali,266,,,,,,,,191,274,204,1,0,670,nan,1,671
7,Bhadrak,42,Chandabali,267,,,,,,,,72,329,133,0,1,535,nan,1,536
7,Bhadrak,42,Chandabali,268,,,,,,,,104,421,237,3,1,766,nan,2,768
