pc_id,pc_name,ac_id,ac_name,Serial No of polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total valid Votes,No of rejected votes,NOTA,Total,NO of tendered Votes
16,Jagatsinghpur,111,Kakatpur,47,,,,,,,,202,87,2,1,2,227,2,5,528,0,3,531,0.0
16,Jagatsinghpur,111,Kakatpur,48,,,,,,,,150,130,4,1,1,40,1,5,332,0,6,338,0.0
16,Jagatsinghpur,111,Kakatpur,49,,,,,,,,261,119,6,3,3,247,2,9,650,0,1,651,0.0
16,Jagatsinghpur,111,Kakatpur,50,,,,,,,,153,64,5,1,1,152,4,0,380,0,9,389,0.0
16,Jagatsinghpur,111,Kakatpur,51,,,,,,,,245,108,11,3,6,189,2,2,566,0,1,567,0.0
16,Jagatsinghpur,111,Kakatpur,52,,,,,,,,303,92,9,7,0,236,3,1,651,0,7,658,0.0
16,Jagatsinghpur,111,Kakatpur,53,,,,,,,,96,73,1,1,1,69,3,2,246,0,4,250,0.0
16,Jagatsinghpur,111,Kakatpur,54,,,,,,,,376,138,7,6,6,341,4,1,879,0,6,885,0.0
16,Jagatsinghpur,111,Kakatpur,55,,,,,,,,120,55,2,0,2,195,0,0,374,0,0,374,0.0
16,Jagatsinghpur,111,Kakatpur,56,,,,,,,,263,185,8,2,3,146,4,2,613,0,2,615,0.0
16,Jagatsinghpur,111,Kakatpur,57,,,,,,,,144,83,3,1,1,99,0,2,333,0,2,335,0.0
16,Jagatsinghpur,111,Kakatpur,58,,,,,,,,274,188,7,6,3,374,6,11,869,0,14,883,0.0
16,Jagatsinghpur,111,Kakatpur,59,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16,Jagatsinghpur,111,Kakatpur,60,,,,,,,,179,99,1,0,0,74,0,3,356,0,6,362,0.0
16,Jagatsinghpur,111,Kakatpur,61,,,,,,,,194,69,1,2,1,205,1,1,474,0,0,474,0.0
16,Jagatsinghpur,111,Kakatpur,62,,,,,,,,263,118,2,1,2,142,1,2,531,0,4,535,0.0
16,Jagatsinghpur,111,Kakatpur,63,,,,,,,,191,98,21,2,4,241,3,2,562,0,8,570,0.0
16,Jagatsinghpur,111,Kakatpur,64,,,,,,,,377,166,4,3,2,108,3,2,665,0,3,668,0.0
16,Jagatsinghpur,111,Kakatpur,65,,,,,,,,305,93,1,0,1,285,0,0,685,0,3,688,0.0
